DetailedPOS_N-Gram,Frequency
CCT JJD_CCP NNC CCT,67
DTC DTCP NNC CCT NNC,67
RBD_CCP VBOF DTC,67
NNC LM VBTR CCT,67
VBTS CCB PRSP_CCP,67
DTC JJD_CCP NNC CCT,67
CCT NNC LM VBTS,67
NNP LM VBTS CCT NNC,67
CCT JJD_CCP NNC_PMP,67
CCT PRI_CCP NNC_PMC,67
NNC LM VBTF CCT,66
VBTR_VBAF CCB NNC,66
JJD_CCP NNC CCB NNC CCB,66
DTC JJD CCP NNC CCB,66
NNC CCT JJD CCB,66
NNP NNP CCT NNC CCB,66
CCT DTCP JJD CCP,66
NNC CCT PRSP_CCP NNC,66
NNC CCB CCR PMS,66
DTCP JJD_CCP NNC CCB,66
CCP NNC LM VBTS,66
VBTR CCB NNC CCT,66
NNP LM VBTS_CCP,66
CCP VBTS CCB NNC,65
JJD_CCP NNC CCB DTCP,65
JJN_CCP NNC LM,65
CCB NNP NNP CCP DTP,65
NNC CCT VBOF DTC,65
NNC CCB DTCP NNC_PMP,65
CCR CCT NNC CCB,65
CCB NNP CCT NNC CCB,65
NNC LM VBTS CCB NNC,65
PRI_CCP NNC CCA,64
NNC CCB NNP CCT NNP,64
CCA JJD_CCP NNC,64
CCB NNC_CCP NNP,64
NNC CCB NNP_CCP NNP,64
CCT DTCP NNC CCB NNP,64
RBI_CCP PMS NNC,64
CCP DTCP NNC CCB,64
CCB DTCP NNC CCT NNC,64
NNC CCB NNP NNP_PMP,64
NNC DTP NNP CCT,63
NNC CCB NNP CCA NNP,63
VBW CCB JJD_CCP,63
CCP VBTS CCT NNC CCB,63
CCA DTC PRSP_CCP,63
NNC CCT NNP CCA,63
NNC CCB NNPA CCP,63
CCT PRI_CCP JJD_CCP,63
CCB PRI_CCP NNC CCP,63
CCP DTCP NNC CCT,63
DTC JJD_CCP NNC CCP,63
NNC CCP DTP NNP NNP LM,63
CCB PRSP_CCP NNC CCT,62
NNC DTC PRSP_CCP,62
RBD_CCP VBW CCB,62
LM PRI_CCP NNC,62
PRI_CCP NNC CCB NNP,62
VBTS CCB NNC CCB NNP,62
DTC DTCP NNC CCA,62
NNC CCB PRSP_CCP NNC,62
CCP DTC NNC CCB NNC,62
CCB NNC CCB NNP CCP,62
NNP LM VBAF CCB,62
CDB CCP NNC_PMP,62
CCP DTP NNP LM,62
NNC CCT NNC CCB NNC_PMP,62
CCB NNC_PMP_PMS,61
NNC DTP NNP LM,61
CCB JJD CCP NNC CCT,61
DTC DTCP JJD CCP,61
NNP CCT PRSP_CCP,61
NNC CCP VBTS CCT NNC,61
DTC PRI_CCP NNC CCB,61
NNC LM VBTR_CCP,60
VBTS CCT NNC CCB NNP,60
NNC CCT JJD CCP NNC,60
VBTS PMS NNC CCT,60
CCB CDB CCP NNC,60
CCB JJD_CCP NNC_PMP,60
VBTR CCT DTCP NNC,60
NNC CCB NNC CCP DTP,60
DTCP NNC CCB NNC_PMP,60
NNC CCB NNC CCT DTCP,60
CCT NNC CCB JJD,60
VBTR DTC DTCP NNC,60
NNC CCB NNPA CCT,60
JJD_CCP NNC CCT NNP,59
DTCP NNC CCB NNC_PMC,59
CCP DTC NNP LM,59
VBTS CCB JJD CCP,59
CCP VBTR CCT NNC,59
PMS NNC CCB NNP,59
PRI_CCP NNC CCT NNC CCB,59
VBTS DTC PRSP_CCP,59
NNC LM VBAF CCB,59
VBOF CCB DTCP NNC,59
CCP VBTR_VBAF CCB,59
CCB NNC DTP NNP,59
NNC CCB DTCP NNC_PMC,58
LM VBTR CCB NNC,58
NNC CCB NNP CCP DTP NNP NNP,58
CCT PRI_CCP NNC_PMP,58
NNC CCB NNP NNP CCT,58
NNP DTC NNC CCT,58
NNP CCT NNC CCB NNP,58
VBTS CCB NNC DTC,58
CCT PRSP_CCP DTCP NNC,58
VBTS PMS NNC CCB,58
NNP CCT JJD_CCP,58
DTC NNC LM VBTF,58
VBTS CCT JJD_CCP,58
DTC NNC CCB NNC_CCP,58
NNC CCP VBTR_VBAF CCT,58
CCB CCR PMS NNC,58
PRI_CCP JJD_CCP NNC CCT,58
JJCS_JJD_CCP NNC CCB,58
PRQ_CCP DTCP NNC,58
VBAF CCT PRI_CCP,58
CCP VBH NNC CCT,57
DTP NNP DTC NNC,57
NNC CCB NNPA_PMC,57
DTCP NNC CCB NNP NNP,57
NNC CCB NNC CCP DTP NNP,57
NNP LM VBTS RBI,57
CDB CCP NNC CCB,57
CCT PRSP_CCP NNC_PMP,57
NNC CCP JJD CCT,57
RBW_CCP NNP CDB,57
CCT PRI_CCP JJD CCP,57
LM VBTR_VBAF CCB,56
NNC CCP DTC DTCP,56
NNP LM VBTR CCB,56
LM VBTS RBI CCB,56
DTC CCR PMS NNC,56
NNP LM VBTS PMS NNC,56
PRI_CCP NNC CCT NNP,56
CCB NNP NNP CCP DTP NNP,56
CCP VBOF DTC DTCP,56
NNC CCB DTCP NNP,56
CCP DTP NNP NNP CCT,56
DTC JJCS_JJD_CCP NNC,56
VBTS DTP NNP CCT,56
PRI CCB DTCP NNC,55
NNC CCB NNC CCP VBTS,55
DTC NNC_CCP JJD,55
NNC CCB NNP CCT NNC,55
CCP VBAF CCT NNC,55
DTC DTCP NNC CCB NNC LM,55
DTP NNP NNP LM VBTS CCB,55
LM VBTS CCB JJD_CCP,55
CCB JJD_CCP NNC CCP,55
RBL CCT DTCP NNC,55
DTC JJN_CCP NNC CCP,55
CDB PMS NNC_CCP,55
CCT NNC CCB NNP CCB,55
VBTS DTC NNC CCT,55
PRSP_CCP DTCP NNC CCT,55
NNC CCB NNC RBW_CCP,55
NNC DTP NNP_PMP,55
DTC NNC CCP PRO,55
VBN_CCP NNC CCT,55
NNC DTP NNP CCP,54
NNC CCB NNC_CCP JJD,54
NNP CCT NNC CCB NNC,54
CCT PRSP_CCP NNC_PMC,54
PMS CDB CCP NNC,54
VBTR_CCP NNC CCB,54
NNC_CCP NNP LM,54
CCT NNC_CCP PRO,54
NNC LM VBTS RBW_CCP,54
DTC NNC CCB JJD_CCP,54
NNP CCP VBOF DTC,54
CCB NNP LM VBTS CCB,54
JJCS_JJD_CCP NNC CCT,54
JJD CCP NNC CCB NNP,54
LM VBTS CCB PRI_CCP,54
PRI CCT DTCP NNC,54
CCB NNC CCA VBTS,54
JJN_CCP NNC CCA,53
NNC RBK RBQ DTC,53
DTC PRI RBI_CCP,53
VBTR CCP DTC NNC,53
CCA DTCP NNC CCB,53
RBW_CCP JJN PMS CDB CCB,53
NNC RBL CCT DTCP,53
CCB JJN_CCP NNC CCT,53
RBK RBQ DTC NNC,53
NNC CCB VBW DTC,53
LM VBTR CCT NNC,53
RBW_CCP NNP CCT,53
DTC NNC LM RBF,53
DTC DTCP NNC_PMC,53
CCT DTCP NNC LM,53
CCB NNC CCP DTP NNP NNP,53
RBR CCT DTCP NNC,52
CCB NNC CCB NNP_PMC,52
NNC CCB NNP NNP LM,52
NNC RBL CCT NNC CCB,52
JJD_CCP NNC CCB NNC CCT,52
PRSP_CCP JJD_CCP NNC,52
NNC CCT NNP_CCP,52
PRI_CCP JJD_CCP NNC CCB,52
CCB PRI_CCP JJD_CCP,52
LM VBTS CCB NNC CCB,52
DTCP NNC CCP VBOF,52
DTC NNC_CCP NNP,52
CCB JJD CCP NNC CCB,52
VBW CCB PRI_CCP,52
NNC CCP DTC NNC LM,51
DTC JJD_CCP NNC CCB NNC,51
JJN_CCP NNC RBW,51
NNC CCB NNC CCP VBTR,51
NNP CCP NNC CCB,51
CCB NNC CCT DTCP NNC,51
NNP CCT NNC CCP,51
CCB NNP CCP DTC,51
CCB PRSP_CCP DTCP,51
NNPA CCP DTP NNP,51
DTC NNC CCB NNPA,50
CCT VBOF DTC NNC,50
DTCP NNC_CCP PRO,50
VBS DTP NNP NNP_PMC,50
DTC NNC_CCP PRO,50
DTC NNC CCB NNP CCP,50
NNC LM VBTF CCB,50
NNP LM VBTR CCT,50
NNC LM VBTS CCT NNC CCB,50
NNC CCB NNP FW,50
VBTS RBI DTP NNP,50
VBTS CCB DTCP NNC CCP,50
NNC CCP VBAF CCB,50
PRI_CCP NNC CCT CCT,50
NNC LM VBTS RBW,49
NNC CCB CDB CCP,49
DTP NNP LM VBTS CCB,49
CCB NNC CCT NNC_PMP,49
DTCP NNC_CCP NNP,49
DTC DTCP NNC LM VBTR,49
NNC CCT JJD_CCP NNC CCB,49
CCP NNC RBL CCT,49
CCB NNC CCT PRI_CCP,49
CCT NNC_PMP_PMS,49
NNC CCT DTCP NNC_CCP,49
CCP NNC DTC VBTS,49
VBTS CCB DTCP NNC CCB,49
PRI_CCP NNC CCP VBTR,49
NNC_CCP PRO_PMC,49
DTCP NNC CCB NNC CCA,49
VBTS PMS NNC CCP,48
VBH JJD_CCP NNC,48
NNP NNP LM VBTS CCP DTC,48
DTCP JJD_CCP NNC CCP,48
NNP CCP DTC DTCP,48
LM VBTF CCT NNC,48
VBTR_VBAF CCT DTCP,48
NNC CCB JJD_CCP NNC CCB,48
NNC LM RBF RBI,48
CCB NNC CCP DTC,48
CCP NNC CCB NNC CCT,48
DTC DTCP NNC_PMP,48
PMS_ DTC NNC,48
CCT NNC CCB NNP CCP,48
CCP DTC NNC CCT,48
CCT JJD_CCP NNC_PMC,48
NNC_CCP JJD_PMC,48
CCT NNC CCB NNPA,47
CCP VBTS DTP NNP,47
VBOF DTC NNC CCB NNC,47
VBTS CCP DTC DTCP,47
CCP VBOF DTC NNC CCB,47
CCT CDB CCP NNC,47
JJD_CCP NNC CCP VBTS,47
VBTS CCB NNP CCP,47
CCT NNC CCB NNC_CCP,47
VBTS RBI CCB NNC,47
VBOF DTC JJD_CCP,47
LM VBTS CCB JJD,47
FW CCP DTP NNP,47
PRI_CCP NNC CCP VBTS,47
NNC CCB DTCP NNC CCA,47
RBW CCT NNC CCB,47
FW CCT NNC CCB,47
NNC CCA JJD_CCP,47
DTC PRSP_CCP NNC CCP,47
NNC CCB NNC_PMP_PMS,46
DTC JJCS_JJD CCP,46
NNC CCT DTCP NNC CCP,46
NNC CCB NNC RBL CCT,46
CCB NNC CCT JJD,46
NNC_CCP VBTS CCT,46
VBW DTC DTCP NNC,46
DTCP NNC LM VBTS CCB,46
PRI RBI_CCP DTCP,46
DTCP NNC LM RBF,46
NNP CCT PRI_CCP NNC,46
JJD CCP NNC CCB DTCP,46
NNC CCT NNC CCB NNP CCA,46
NNC CCB NNPA LM,46
JJD CCP NNC CCT NNC CCB,46
VBTS_CCP NNC CCB,46
VBS DTP NNP_PMP,46
CCB VBW DTC NNC,46
LM VBAF CCB NNC,45
NNP LM PRI_CCP,45
DTP NNP LM VBTS CCT,45
CCP DTC PRSP_CCP NNC,45
DTCP JJD_CCP NNC CCT,45
CCP VBTR CCB DTCP,45
CCA PRI_CCP NNC,45
VBOF DTC DTCP NNC CCB,45
NNC CCT NNC CCB DTCP NNC,45
CCP NNC CCB DTCP NNC,45
CCP DTC NNC CCB NNP,45
CCB NNC LM VBTR,45
VBAF CCT DTCP NNC,45
LM VBAF CCT NNC CCB,45
JJN_CCP NNC CCB NNP,44
CCP VBTR CCT DTCP,44
NNC CCB DTCP JJD_CCP,44
NNC CCT NNP CCB NNP,44
PRI_PMS NNCA PRI_CCP,44
DTC JJN_CCP NNC CCB,44
PRS DTC PRSP_CCP,44
CCT NNC CCB JJN_CCP NNC,44
DTP NNP NNP LM VBTS CCP,44
NNC CCA VBOF DTC,44
VBTS CCB NNP DTC,44
VBTS CCB NNC CCT NNC,44
CCB NNC CCP VBH,44
CCB NNC CCB NNP_PMP,44
CCT NNC CCB JJD CCP,44
DTC NNC CCT DTCP,44
CCT PRQ_CCP NNC,44
VBTS CCB JJN_CCP NNC,44
CCT NNC CCB JJD_CCP NNC,44
DTC NNC RBL CCT,44
CCB NNC CCB NNP CCT,44
NNC CCT NNP NNP_PMC,44
DTP NNP LM VBAF,44
DTCP NNC CCP VBH,44
VBTS CCT NNC_CCP,44
LM RBD_CCP VBOF,44
CCB PRSP_CCP NNC_PMP,44
PMS PRI_CCP NNC,44
DTP NNP CCT NNC,43
LM VBTS CCB DTCP NNC,43
NNC_CCP JJD CCA,43
NNC CCB NNC CCP DTP NNP NNP,43
NNP CCP VBTS CCT,43
CCT NNP CCB NNP_PMC,43
DTCP NNC LM VBAF,43
DTP NNP NNP LM VBTS CCT,43
VBW DTC NNC CCT,43
NNC CCT VBW DTC,43
RBR CCT PRI_CCP,43
LM VBTS CCB JJD_CCP NNC,43
CCB NNP LM VBAF,43
CCB DTCP JJD CCP,43
JJN_CCP NNC CCT NNC,43
CCP VBTS PMS NNC,43
CCB NNC CCT NNP NNP,43
CCA PRI RBI_CCP,43
DTC NNC CCB NNC CCB NNP,43
CCT PRI_CCP NNC_CCP,43
NNC_CCP JJD LM,43
CCT NNC CCB NNC CCB NNP,43
DTCP NNC_PMP_PMS,43
VBTS CCB JJD CCP NNC,43
VBTR CCB JJD_CCP,43
CDB NNC DTC VBTS,43
VBH JJD CCP NNC,43
DTCP NNC DTC VBTS,43
VBTS CCT NNC_PMP,43
CCT PRSP_CCP JJD_CCP,43
NNC DTC VBAF CCT,43
CCT PRI_PMS NNCA,43
DTCP NNC CCB NNP LM,43
CCP VBAF CCB NNC,43
NNC DTP NNP NNP_PMC,42
RBI DTC NNC CCB,42
LM VBTS CCB CDB,42
VBTS CCB NNC_CCP,42
JJD_CCP NNC CCB NNC_PMP,42
RBW_CCP NNC CCT,42
LM RBD_CCP VBW,42
VBTS_CCP NNC CCT,42
DTC NNC RBW_CCP,42
NNP LM VBTR CCP,42
PMS NNC CCT NNP,42
NNC DTC VBTS CCT NNC,42
DTC NNC CCB NNC LM VBTS,42
NNC CCB NNPA_PMP,42
CCP NNC CCT DTCP,42
LM VBTS RBW_CCP NNP,42
DTC PRI_CCP NNC CCP,42
NNC CCB NNC_CCP NNP,42
CCB NNC CCP NNP,42
VBAF CCB JJD_CCP,42
PRO DTC JJN_CCP,42
NNC LM VBTS DTC,42
CCT PRSP_CCP NNC CCP,41
NNC CCA VBTS CCT,41
LM VBTS CCB PRSP_CCP,41
NNC CCP VBTF CCT,41
NNC CCT CCR PMS,41
CCB PRQ_CCP NNC,41
VBW CCB JJN_CCP,41
DTC NNC LM JJD,41
DTC NNC CCP PRO LM,41
LM VBTS CCB JJN_CCP,41
NNP LM VBTS CCP DTC NNC,41
CCB VBOF DTC NNC,41
CCB NNP CCB NNP CCP DTP,41
VBTS PRS CCP DTC,41
RBW DTC NNC LM,41
CCP DTCP NNC LM,41
NNC LM RBD CCP,41
NNC_CCP NNP CCT,41
NNC CCT DTCP NNC_PMP,41
CCT NNC CCP CDB,41
CCT NNC CCB DTCP NNC CCB,41
RBI_CCP NNC CCT,41
DTC PRSP_CCP NNC CCT NNC,40
DTC DTCP NNC CCB DTCP,40
CCT JJCS_JJD_CCP,40
NNC LM VBTS RBI,40
LM VBTR_VBAF CCP,40
NNC CCA DTC DTCP,40
