N-Gram_ID,N-Gram_Size,RoughPOS_N-Gram,DetailedPOS_N-Gram,N-Gram,Lemma_N-Gram
000066,6,CC.* CC.* NN.* CC.* DT.* NN.*,CCT CCT NNC CCB DTCP NNC,para sa buhay ng mga parasito,para sa buhay ng mga parasito
000067,6,CC.* NN.* CC.* DT.* NN.* VB.*,CCT NNC CCB DTCP NNC VBTR,sa buhay ng mga parasito aalala,sa buhay ng mga parasito aalala
000068,6,NN.* CC.* DT.* NN.* VB.* RB.*,NNC CCB DTCP NNC VBTR RBR,buhay ng mga parasito aalala tungkol,buhay ng mga parasito aalala tungkol
000069,6,CC.* DT.* NN.* VB.* RB.* CC.*,CCB DTCP NNC VBTR RBR CCT,ng mga parasito aalala tungkol sa,ng mga parasito aalala tungkol sa
000070,6,DT.* NN.* VB.* RB.* CC.* DT.*,DTCP NNC VBTR RBR CCT DTCP,mga parasito aalala tungkol sa mga,mga parasito aalala tungkol sa mga
000071,6,NN.* VB.* RB.* CC.* DT.* NN.*,NNC VBTR RBR CCT DTCP NNC,parasito aalala tungkol sa mga uod,parasito aalala tungkol sa mga uod
000072,6,VB.* RB.* CC.* DT.* NN.* CC.*,VBTR RBR CCT DTCP NNC CCT,aalala tungkol sa mga uod sa,aalala tungkol sa mga uod sa
000073,6,RB.* CC.* DT.* NN.* CC.* RB.*_PM.*,RBR CCT DTCP NNC CCT RBW_PMC,"tungkol sa mga uod sa gabi,",tungkol sa mga uod sa gabi
000074,7,RB.* RB.* DT.* NN.* NN.* LM JJ.*,RBK RBQ DTC NNC NNC LM JJD,Kung ano ang kapaligiran kadahilanan ay partikular,Kung ano ang kapaligiran kadahilanan ay partikular
000075,7,RB.* DT.* NN.* NN.* LM JJ.* CC.*,RBQ DTC NNC NNC LM JJD CCP,ano ang kapaligiran kadahilanan ay partikular na,ano ang kapaligiran kadahilanan ay partikular na
000076,7,DT.* NN.* NN.* LM JJ.* CC.* JJ.*,DTC NNC NNC LM JJD CCP JJD,ang kapaligiran kadahilanan ay partikular na mahalaga,ang kapaligiran kadahilanan ay partikular na mahalaga
000077,7,NN.* NN.* LM JJ.* CC.* JJ.* CC.*,NNC NNC LM JJD CCP JJD CCT,kapaligiran kadahilanan ay partikular na mahalaga para,kapaligiran kadahilanan ay partikular na mahalaga para
000078,7,NN.* LM JJ.* CC.* JJ.* CC.* CC.*,NNC LM JJD CCP JJD CCT CCT,kadahilanan ay partikular na mahalaga para sa,kadahilanan ay partikular na mahalaga para sa
000079,7,LM JJ.* CC.* JJ.* CC.* CC.* NN.*,LM JJD CCP JJD CCT CCT NNC,ay partikular na mahalaga para sa buhay,ay partikular na mahalaga para sa buhay
000080,7,JJ.* CC.* JJ.* CC.* CC.* NN.* CC.*,JJD CCP JJD CCT CCT NNC CCB,partikular na mahalaga para sa buhay ng,partikular na mahalaga para sa buhay ng
000081,7,CC.* JJ.* CC.* CC.* NN.* CC.* DT.*,CCP JJD CCT CCT NNC CCB DTCP,na mahalaga para sa buhay ng mga,na mahalaga para sa buhay ng mga
000082,7,JJ.* CC.* CC.* NN.* CC.* DT.* NN.*,JJD CCT CCT NNC CCB DTCP NNC,mahalaga para sa buhay ng mga parasito,mahalaga para sa buhay ng mga parasito
000083,7,CC.* CC.* NN.* CC.* DT.* NN.* VB.*,CCT CCT NNC CCB DTCP NNC VBTR,para sa buhay ng mga parasito aalala,para sa buhay ng mga parasito aalala
000084,7,CC.* NN.* CC.* DT.* NN.* VB.* RB.*,CCT NNC CCB DTCP NNC VBTR RBR,sa buhay ng mga parasito aalala tungkol,sa buhay ng mga parasito aalala tungkol
000085,7,NN.* CC.* DT.* NN.* VB.* RB.* CC.*,NNC CCB DTCP NNC VBTR RBR CCT,buhay ng mga parasito aalala tungkol sa,buhay ng mga parasito aalala tungkol sa
000086,7,CC.* DT.* NN.* VB.* RB.* CC.* DT.*,CCB DTCP NNC VBTR RBR CCT DTCP,ng mga parasito aalala tungkol sa mga,ng mga parasito aalala tungkol sa mga
000087,7,DT.* NN.* VB.* RB.* CC.* DT.* NN.*,DTCP NNC VBTR RBR CCT DTCP NNC,mga parasito aalala tungkol sa mga uod,mga parasito aalala tungkol sa mga uod
000088,7,NN.* VB.* RB.* CC.* DT.* NN.* CC.*,NNC VBTR RBR CCT DTCP NNC CCT,parasito aalala tungkol sa mga uod sa,parasito aalala tungkol sa mga uod sa
000089,7,VB.* RB.* CC.* DT.* NN.* CC.* RB.*_PM.*,VBTR RBR CCT DTCP NNC CCT RBW_PMC,"aalala tungkol sa mga uod sa gabi,",aalala tungkol sa mga uod sa gabi
000090,3,NN.* CC.* PR.*,NNC CCT PRI_CCP,uod sa isang,uod sa isang
000091,3,CC.* PR.* NN.*,CCT PRI_CCP NNC,sa isang buntis,sa isang buntis
000092,4,JJ.* CC.* VB.* DT.*,JJC CCB VBOF DTC,kaysa upang dalhin ang,kaysa upang dalhin ang
000093,4,CC.* VB.* DT.* DT.*,CCB VBOF DTC DTCP,upang dalhin ang mga,upang dalhin ang mga
000094,4,VB.* DT.* DT.* NN.*,VBOF DTC DTCP NNC,dalhin ang mga uod,dalhin ang mga uod
000095,4,DT.* DT.* NN.* CC.*,DTC DTCP NNC CCT,ang mga uod sa,ang mga uod sa
000096,4,DT.* NN.* CC.* PR.*,DTCP NNC CCT PRI_CCP,mga uod sa isang,mga uod sa isang
000097,4,NN.* CC.* PR.* NN.*,NNC CCT PRI_CCP NNC,uod sa isang buntis,uod sa isang buntis
000098,4,CC.* PR.* NN.* CC.*,CCT PRI_CCP NNC CCP,sa isang buntis na,sa isang buntis na
000099,5,JJ.* CC.* VB.* DT.* DT.*,JJC CCB VBOF DTC DTCP,kaysa upang dalhin ang mga,kaysa upang dalhin ang mga
000100,5,CC.* VB.* DT.* DT.* NN.*,CCB VBOF DTC DTCP NNC,upang dalhin ang mga uod,upang dalhin ang mga uod
000101,5,VB.* DT.* DT.* NN.* CC.*,VBOF DTC DTCP NNC CCT,dalhin ang mga uod sa,dalhin ang mga uod sa
000102,5,DT.* DT.* NN.* CC.* PR.*,DTC DTCP NNC CCT PRI_CCP,ang mga uod sa isang,ang mga uod sa isang
000103,5,DT.* NN.* CC.* PR.* NN.*,DTCP NNC CCT PRI_CCP NNC,mga uod sa isang buntis,mga uod sa isang buntis
000104,5,NN.* CC.* PR.* NN.* CC.*,NNC CCT PRI_CCP NNC CCP,uod sa isang buntis na,uod sa isang buntis na
000105,5,CC.* PR.* NN.* CC.* NN.*,CCT PRI_CCP NNC CCP NNC,sa isang buntis na babae,sa isang buntis na babae
000106,6,JJ.* CC.* VB.* DT.* DT.* NN.*,JJC CCB VBOF DTC DTCP NNC,kaysa upang dalhin ang mga uod,kaysa upang dalhin ang mga uod
000107,6,CC.* VB.* DT.* DT.* NN.* CC.*,CCB VBOF DTC DTCP NNC CCT,upang dalhin ang mga uod sa,upang dalhin ang mga uod sa
000108,6,VB.* DT.* DT.* NN.* CC.* PR.*,VBOF DTC DTCP NNC CCT PRI_CCP,dalhin ang mga uod sa isang,dalhin ang mga uod sa isang
000109,6,DT.* DT.* NN.* CC.* PR.* NN.*,DTC DTCP NNC CCT PRI_CCP NNC,ang mga uod sa isang buntis,ang mga uod sa isang buntis
000110,6,DT.* NN.* CC.* PR.* NN.* CC.*,DTCP NNC CCT PRI_CCP NNC CCP,mga uod sa isang buntis na,mga uod sa isang buntis na
000111,6,NN.* CC.* PR.* NN.* CC.* NN.*,NNC CCT PRI_CCP NNC CCP NNC,uod sa isang buntis na babae,uod sa isang buntis na babae
000112,6,CC.* PR.* NN.* CC.* NN.* NN.*,CCT PRI_CCP NNC CCP NNC NNC,sa isang buntis na babae gamot,sa isang buntis na babae gamot
000113,6,PR.* NN.* CC.* NN.* NN.* CC.*,PRI_CCP NNC CCP NNC NNC CCT,isang buntis na babae gamot sa,isang buntis na babae gamot sa
000114,6,CC.* NN.* NN.* CC.* NN.* NN.*_PM.*,CCP NNC NNC CCT NNC NNC_PMP,na babae gamot sa atay parasitiko.,na babae gamot sa atay parasitiko.
000115,7,JJ.* CC.* VB.* DT.* DT.* NN.* CC.*,JJC CCB VBOF DTC DTCP NNC CCT,kaysa upang dalhin ang mga uod sa,kaysa upang dalhin ang mga uod sa
000116,7,CC.* VB.* DT.* DT.* NN.* CC.* PR.*,CCB VBOF DTC DTCP NNC CCT PRI_CCP,upang dalhin ang mga uod sa isang,upang dalhin ang mga uod sa isang
000117,7,VB.* DT.* DT.* NN.* CC.* PR.* NN.*,VBOF DTC DTCP NNC CCT PRI_CCP NNC,dalhin ang mga uod sa isang buntis,dalhin ang mga uod sa isang buntis
000118,7,DT.* DT.* NN.* CC.* PR.* NN.* CC.*,DTC DTCP NNC CCT PRI_CCP NNC CCP,ang mga uod sa isang buntis na,ang mga uod sa isang buntis na
000119,7,DT.* NN.* CC.* PR.* NN.* CC.* NN.*,DTCP NNC CCT PRI_CCP NNC CCP NNC,mga uod sa isang buntis na babae,mga uod sa isang buntis na babae
000120,7,NN.* CC.* PR.* NN.* CC.* NN.* NN.*,NNC CCT PRI_CCP NNC CCP NNC NNC,uod sa isang buntis na babae gamot,uod sa isang buntis na babae gamot
000121,7,CC.* PR.* NN.* CC.* NN.* NN.* CC.*,CCT PRI_CCP NNC CCP NNC NNC CCT,sa isang buntis na babae gamot sa,sa isang buntis na babae gamot sa
000122,7,PR.* NN.* CC.* NN.* NN.* CC.* NN.*,PRI_CCP NNC CCP NNC NNC CCT NNC,isang buntis na babae gamot sa atay,isang buntis na babae gamot sa atay
000123,7,NN.* CC.* NN.* NN.* CC.* NN.* NN.*_PM.*,NNC CCP NNC NNC CCT NNC NNC_PMP,buntis na babae gamot sa atay parasitiko.,buntis na babae gamot sa atay parasitiko.
000124,3,NN.* CC.* VB.*,NNC CCP VBTR_VBAF,sugat na pumapatay,sugat na pumapatay
000125,3,CC.* VB.* CC.*,CCP VBTR_VBAF CCB,na pumapatay ng,na pumapatay ng
000126,3,VB.* CC.* DT.*,VBTR_VBAF CCB DTCP,pumapatay ng mga,pumapatay ng mga
000127,4,NN.* NN.* CC.* VB.*,NNC NNC CCP VBTR_VBAF,atay sugat na pumapatay,atay sugat na pumapatay
000128,4,NN.* CC.* VB.* CC.*,NNC CCP VBTR_VBAF CCB,sugat na pumapatay ng,sugat na pumapatay ng
000129,4,CC.* VB.* CC.* DT.*,CCP VBTR_VBAF CCB DTCP,na pumapatay ng mga,na pumapatay ng mga
000130,4,VB.* CC.* DT.* NN.*,VBTR_VBAF CCB DTCP NNC,pumapatay ng mga parasito,pumapatay ng mga parasito
000131,4,CC.* DT.* NN.* CC.*,CCB DTCP NNC CCT,ng mga parasito sa,ng mga parasito sa
000132,4,CC.* NN.* CC.* NN.*_PM.*,CCT NNC CCB NNC_PMP,sa loob ng tao.,sa loob ng tao.
000133,5,JJ.* NN.* NN.* CC.* VB.*,JJD NNC NNC CCP VBTR_VBAF,parasito atay sugat na pumapatay,parasito atay sugat na pumapatay
000134,5,NN.* NN.* CC.* VB.* CC.*,NNC NNC CCP VBTR_VBAF CCB,atay sugat na pumapatay ng,atay sugat na pumapatay ng
000135,5,NN.* CC.* VB.* CC.* DT.*,NNC CCP VBTR_VBAF CCB DTCP,sugat na pumapatay ng mga,sugat na pumapatay ng mga
000136,5,CC.* VB.* CC.* DT.* NN.*,CCP VBTR_VBAF CCB DTCP NNC,na pumapatay ng mga parasito,na pumapatay ng mga parasito
000137,5,VB.* CC.* DT.* NN.* CC.*,VBTR_VBAF CCB DTCP NNC CCT,pumapatay ng mga parasito sa,pumapatay ng mga parasito sa
000138,5,CC.* DT.* NN.* CC.* NN.*,CCB DTCP NNC CCT NNC,ng mga parasito sa loob,ng mga parasito sa loob
000139,5,DT.* NN.* CC.* NN.* CC.*,DTCP NNC CCT NNC CCB,mga parasito sa loob ng,mga parasito sa loob ng
000140,5,NN.* CC.* NN.* CC.* NN.*_PM.*,NNC CCT NNC CCB NNC_PMP,parasito sa loob ng tao.,parasito sa loob ng tao.
000141,6,NN.* JJ.* NN.* NN.* CC.* VB.*,NNC_CCP JJD NNC NNC CCP VBTR_VBAF,bulating parasito atay sugat na pumapatay,bulating parasito atay sugat na pumapatay
000142,6,JJ.* NN.* NN.* CC.* VB.* CC.*,JJD NNC NNC CCP VBTR_VBAF CCB,parasito atay sugat na pumapatay ng,parasito atay sugat na pumapatay ng
000143,6,NN.* NN.* CC.* VB.* CC.* DT.*,NNC NNC CCP VBTR_VBAF CCB DTCP,atay sugat na pumapatay ng mga,atay sugat na pumapatay ng mga
000144,6,NN.* CC.* VB.* CC.* DT.* NN.*,NNC CCP VBTR_VBAF CCB DTCP NNC,sugat na pumapatay ng mga parasito,sugat na pumapatay ng mga parasito
000145,6,CC.* VB.* CC.* DT.* NN.* CC.*,CCP VBTR_VBAF CCB DTCP NNC CCT,na pumapatay ng mga parasito sa,na pumapatay ng mga parasito sa
000146,6,VB.* CC.* DT.* NN.* CC.* NN.*,VBTR_VBAF CCB DTCP NNC CCT NNC,pumapatay ng mga parasito sa loob,pumapatay ng mga parasito sa loob
000147,6,CC.* DT.* NN.* CC.* NN.* CC.*,CCB DTCP NNC CCT NNC CCB,ng mga parasito sa loob ng,ng mga parasito sa loob ng
000148,6,DT.* NN.* CC.* NN.* CC.* NN.*_PM.*,DTCP NNC CCT NNC CCB NNC_PMP,mga parasito sa loob ng tao.,mga parasito sa loob ng tao.
000149,7,NN.* JJ.* NN.* NN.* CC.* VB.* CC.*,NNC_CCP JJD NNC NNC CCP VBTR_VBAF CCB,bulating parasito atay sugat na pumapatay ng,bulating parasito atay sugat na pumapatay ng
000150,7,JJ.* NN.* NN.* CC.* VB.* CC.* DT.*,JJD NNC NNC CCP VBTR_VBAF CCB DTCP,parasito atay sugat na pumapatay ng mga,parasito atay sugat na pumapatay ng mga
000151,7,NN.* NN.* CC.* VB.* CC.* DT.* NN.*,NNC NNC CCP VBTR_VBAF CCB DTCP NNC,atay sugat na pumapatay ng mga parasito,atay sugat na pumapatay ng mga parasito
000152,7,NN.* CC.* VB.* CC.* DT.* NN.* CC.*,NNC CCP VBTR_VBAF CCB DTCP NNC CCT,sugat na pumapatay ng mga parasito sa,sugat na pumapatay ng mga parasito sa
000153,7,CC.* VB.* CC.* DT.* NN.* CC.* NN.*,CCP VBTR_VBAF CCB DTCP NNC CCT NNC,na pumapatay ng mga parasito sa loob,na pumapatay ng mga parasito sa loob
000154,7,VB.* CC.* DT.* NN.* CC.* NN.* CC.*,VBTR_VBAF CCB DTCP NNC CCT NNC CCB,pumapatay ng mga parasito sa loob ng,pumapatay ng mga parasito sa loob ng
000155,7,CC.* DT.* NN.* CC.* NN.* CC.* NN.*_PM.*,CCB DTCP NNC CCT NNC CCB NNC_PMP,ng mga parasito sa loob ng tao.,ng mga parasito sa loob ng tao.
000156,3,CC.* DT.* NN.*_PM.*,CCB DTCP NNC_PMC,"ng mga parasito,",ng mga parasito
000157,4,RB.* RB.* VB.* DT.*,RBK RBQ VBW DTC,Kung paano makilala ang,Kung paano makilala ang
000158,4,RB.* VB.* DT.* DT.*,RBQ VBW DTC DTCP,paano makilala ang mga,paano makilala ang mga
000159,4,VB.* DT.* DT.* NN.*,VBW DTC DTCP NNC,makilala ang mga uod,makilala ang mga uod
000160,4,DT.* DT.* NN.* CC.*,DTC DTCP NNC CCT,ang mga uod sa,ang mga uod sa
000161,4,CC.* NN.* CC.* DT.*,CCT NNC CCB DTCP,sa presensiya ng mga,sa presensiya ng mga
000162,4,NN.* CC.* DT.* NN.*_PM.*,NNC CCB DTCP NNC_PMC,"presensiya ng mga parasito,",presensiya ng mga parasito
000163,5,RB.* RB.* VB.* DT.* DT.*,RBK RBQ VBW DTC DTCP,Kung paano makilala ang mga,Kung paano makilala ang mga
000164,5,RB.* VB.* DT.* DT.* NN.*,RBQ VBW DTC DTCP NNC,paano makilala ang mga uod,paano makilala ang mga uod
000165,5,VB.* DT.* DT.* NN.* CC.*,VBW DTC DTCP NNC CCT,makilala ang mga uod sa,makilala ang mga uod sa
000166,5,DT.* DT.* NN.* CC.* DT.*,DTC DTCP NNC CCT DTCP,ang mga uod sa mga,ang mga uod sa mga
000167,5,CC.* CC.* NN.* CC.* DT.*,CCT CCT NNC CCB DTCP,para sa presensiya ng mga,para sa presensiya ng mga
000168,5,CC.* NN.* CC.* DT.* NN.*_PM.*,CCT NNC CCB DTCP NNC_PMC,"sa presensiya ng mga parasito,",sa presensiya ng mga parasito
000169,6,RB.* RB.* VB.* DT.* DT.* NN.*,RBK RBQ VBW DTC DTCP NNC,Kung paano makilala ang mga uod,Kung paano makilala ang mga uod
000170,6,RB.* VB.* DT.* DT.* NN.* CC.*,RBQ VBW DTC DTCP NNC CCT,paano makilala ang mga uod sa,paano makilala ang mga uod sa
000171,6,VB.* DT.* DT.* NN.* CC.* DT.*,VBW DTC DTCP NNC CCT DTCP,makilala ang mga uod sa mga,makilala ang mga uod sa mga
000172,6,DT.* DT.* NN.* CC.* DT.* NN.*,DTC DTCP NNC CCT DTCP NNC,ang mga uod sa mga matatanda,ang mga uod sa mga matatanda
000173,6,NN.* CC.* CC.* NN.* CC.* DT.*,NNC CCT CCT NNC CCB DTCP,pagsubok para sa presensiya ng mga,pagsubok para sa presensiya ng mga
000174,6,CC.* CC.* NN.* CC.* DT.* NN.*_PM.*,CCT CCT NNC CCB DTCP NNC_PMC,"para sa presensiya ng mga parasito,",para sa presensiya ng mga parasito
000175,7,RB.* RB.* VB.* DT.* DT.* NN.* CC.*,RBK RBQ VBW DTC DTCP NNC CCT,Kung paano makilala ang mga uod sa,Kung paano makilala ang mga uod sa
000176,7,RB.* VB.* DT.* DT.* NN.* CC.* DT.*,RBQ VBW DTC DTCP NNC CCT DTCP,paano makilala ang mga uod sa mga,paano makilala ang mga uod sa mga
