Pattern_ID,Final_Hybrid_N-Gram
400037,RB.* RB.* CC.* PR.*
400038,RB.* CC.* PR.* NN.*_PM.*
400039,DT.* CC.* PM.* JJ.*
400416,DT.* pag-kakahiwahiwalay ng mga
400040,CC.* PM.* JJ.* CC.*
400417,pag-kakahiwahiwalay ng mga CC.*
400041,CC.* DT.* NN.* LM
400042,CC.* VB.* RB.* DT.*
400043,CC.* VB.* PR.* PR.*
400044,PM.* NN.* JJ.* CC.*
400045,CC.* PR.* DT.* NN.*
400046,PR.* DT.* NN.* JJ.*
400047,NN.* DT.* VB.* CC.*
400048,LM RB.* VB.* CC.*
400049,RB.* VB.* CC.* PR.*_PM.*
400050,VB.* CC.* CD.* NN.*
400051,CC.* CD.* NN.* CC.*
400052,VB.* RB.* NN.* CC.*
400053,NN.* CC.* NN.* PR.*_PM.*
400054,VB.* RB.* DT.* NN.*
400055,RB.* DT.* NN.* CC.*
400056,RB.* CC.* NN.* PM.*
400057,VB.* PR.* CC.* JJ.*
400058,PR.* CC.* JJ.* CC.*
400059,CC.* JJ.* CC.* NN.*_PM.*
400060,JJ.* NN.* PR.* VB.*
400061,NN.* PR.* VB.* CC.*
400062,PR.* VB.* CC.* PR.*
400063,VB.* CC.* PR.* DT.*
400064,DT.* PR.* NN.* LM
400065,VB.* PR.* DT.* NN.*
400066,PR.* DT.* NN.* CC.*
400067,VB.* PR.* VB.* DT.*
400068,PR.* VB.* DT.* NN.*
400069,VB.* DT.* NN.* CC.*
400070,CC.* VB.* PR.* RB.*
400071,VB.* PR.* RB.* RB.*
400072,RB.* RB.* PR.* VB.*
400073,RB.* RB.* PR.* VB.*_PM.*
400074,RB.* RB.* DT.* VB.*
400075,RB.* DT.* VB.* PR.*_PM.*
400076,CC.* CC.* VB.* CC.*
400077,RB.* JJ.* NN.* PR.*
400078,VB.* DT.* NN.* PR.*_PM.*
400079,PR.* JJ.* CC.* NN.*
400080,JJ.* CC.* NN.* PR.*
400081,CC.* NN.* PR.* CC.*
400082,PR.* DT.* NN.* DT.*
400083,PR.* PR.* NN.* CC.*
400084,CC.* VB.* PR.* DT.*
400085,PR.* DT.* NN.* RB.*
400086,VB.* DT.* PR.* NN.*
400087,DT.* PR.* NN.* DT.*
400088,PR.* NN.* DT.* VB.*
400089,RB.* PR.* JJ.* CC.*
400090,PR.* JJ.* CC.* VB.*
400091,CC.* VB.* DT.* PR.*
400092,DT.* PR.* CC.* DT.*
400093,DT.* NN.* CC.* CC.*
400094,CC.* VB.* PR.* CC.*
400095,CC.* NN.* LM VB.*
400096,RB.* VB.* PR.* CC.*
400097,VB.* PR.* CC.* NN.*_PM.*
400098,VB.* PR.* RB.* VB.*
400099,VB.* PR.* PR.* NN.*
400100,PR.* NN.* CC.* NN.*_PM.*
400101,LM VB.* PR.* CC.*
400102,NN.* CC.* PR.* CC.*
400103,CC.* PR.* CC.* DT.*
400104,PR.* CC.* DT.* JJ.*
400105,RB.* VB.* DT.* NN.*
400106,CC.* VB.* LM VB.*
400107,VB.* LM VB.* PR.*
400108,NN.* CC.* RB.* VB.*
400109,CC.* RB.* VB.* CC.*
400110,RB.* DT.* DT.* NN.*
400111,PR.* CC.* NN.* PR.*_PM.*
400112,DT.* RB.* VB.* CC.*
400113,LM VB.* PR.* DT.*
400114,PR.* DT.* NN.* NN.*_PM.*
400115,PR.* NN.* CC.* NN.*
400116,CC.* PR.* LM VB.*
400117,PR.* LM VB.* RB.*
400118,VB.* RB.* RB.* CC.*
400119,RB.* RB.* CC.* VB.*
400120,CC.* PM.* NN.* CC.*
400121,VB.* CC.* NN.* PM.*
400122,PR.* LM VB.* CC.*
400123,VB.* CC.* PR.* NN.*
400124,PR.* NN.* CC.* CC.*
400125,NN.* CC.* CC.* PR.*
400126,CC.* CC.* PR.* LM
400127,NN.* CC.* PR.* LM
400128,VB.* PR.* CC.* PR.*
400129,DT.* PR.* DT.* NN.*
400130,CC.* DT.* NN.* PM.*
400131,PR.* LM DT.* NN.*
400132,RB.* VB.* CC.* VB.*
400133,VB.* CC.* VB.* RB.*
400134,CC.* VB.* RB.* CC.*
400135,VB.* RB.* CC.* NN.*
400136,VB.* PR.* CC.* RB.*
400137,PR.* CC.* RB.* VB.*
400138,PR.* NN.* CC.* PR.*
400139,NN.* CC.* PR.* NN.*_PM.*
400140,CC.* PR.* LM RB.*
400141,PR.* LM RB.* RB.*
400142,LM RB.* RB.* PR.*
400143,RB.* PR.* VB.* CC.*
400144,PR.* VB.* CC.* NN.*
400145,VB.* CC.* NN.* CC.*
400146,CC.* NN.* CC.* RB.*
400147,NN.* CC.* RB.* RB.*
400148,RB.* CC.* VB.* DT.*
400149,CC.* RB.* RB.* DT.*
400150,VB.* CC.* PR.* NN.*_PM.*
400151,PR.* CC.* PR.* NN.*_PM.*
400152,CC.* RB.* RB.* PR.*
400153,VB.* PR.* VB.* CC.*
400154,PR.* VB.* CC.* DT.*
400155,NN.* CC.* VB.* NN.*_PM.*
400156,DT.* NN.* CC.* VB.*
400157,VB.* CC.* VB.* DT.*
400158,DT.* DT.* NN.* LM
400159,DT.* NN.* LM RB.*
400160,NN.* LM RB.* VB.*
400161,RB.* VB.* CC.* DT.*
400162,VB.* CC.* DT.* NN.*_PM.*
400163,LM VB.* CC.* VB.*
400164,VB.* DT.* DT.* PR.*_PM.*
400165,NN.* CC.* NN.* PM.*
400166,DT.* PR.* NN.* CC.*
400167,DT.* VB.* NN.* CC.*
400168,DT.* NN.* CC.* NN.*_PM.*
400169,DT.* JJ.* CC.* NN.*
400170,DT.* NN.* LM VB.*
400171,NN.* LM VB.* CC.*
400172,LM VB.* CC.* NN.*
400173,CC.* VB.* CC.* NN.*_PM.*
400174,NN.* DT.* NN.* NN.*
400175,NN.* VB.* CC.* CC.*
400176,CC.* CC.* PM.* NN.*
400177,CC.* VB.* PR.* LM
400178,NN.* CC.* DT.* NN.*
400179,CC.* DT.* NN.* NN.*_PM.*
400180,CC.* NN.* PM.* NN.*
400181,NN.* PM.* NN.* LM
400182,PM.* NN.* LM VB.*
400183,VB.* CC.* NN.* RB.*
400184,RB.* CC.* NN.* RB.*
400185,CC.* NN.* RB.* RB.*
400186,NN.* RB.* RB.* VB.*
400187,DT.* DT.* NN.* PM.*
400188,DT.* NN.* PM.* NN.*
400189,NN.* PM.* NN.* CC.*
400190,PM.* NN.* CC.* DT.*
400191,RB.* RB.* CC.* NN.*
400192,RB.* CC.* NN.* DT.*
400193,CC.* NN.* NN.* PM.*
400194,JJ.* CC.* NN.* CC.*
400195,NN.* CC.* VB.* DT.*
400196,CC.* VB.* DT.* NN.*
400197,DT.* NN.* NN.* PM.*
400198,NN.* PM.* NN.* VB.*
400199,PM.* NN.* VB.* CC.*
400200,PR.* DT.* VB.* CC.*
400201,DT.* VB.* CC.* VB.*
400202,VB.* CC.* VB.* PR.*
400203,PR.* PR.* NN.* NN.*
400204,PR.* NN.* NN.* PM.*
400205,PM.* NN.* CC.* PR.*
400206,NN.* CC.* PR.* DT.*
400207,CC.* NN.* CC.* PR.*
400208,NN.* CC.* PR.* JJ.*
400209,CC.* PR.* JJ.* CC.*
400210,RB.* VB.* DT.* FW
400211,DT.* JJ.* PM.* JJ.*
400212,JJ.* NN.* CC.* NN.*
400213,JJ.* NN.* CC.* NN.*_PM.*
400418,"JJ.* NN.* sa histograpiya,"
400419,JJ.* NN.* sa histograpiya
400214,VB.* DT.* NN.* PM.*
400215,CC.* VB.* CC.* PR.*
400216,VB.* CC.* PR.* JJ.*
400420,"VB.* ng isang napaka-kumplikado,"
400421,VB.* ng isang napaka-kumplikado
400217,RB.* PR.* VB.* DT.*
400218,DT.* NN.* VB.* CC.*
400219,VB.* DT.* NN.* VB.*
400220,JJ.* CC.* VB.* CC.*
400221,CC.* CC.* DT.* NN.*_PM.*
400222,NN.* RB.* RB.* DT.*
400223,DT.* VB.* CC.* DT.*
400224,DT.* NN.* CC.* JJ.*
400225,FW DT.* NN.* CC.*
400226,DT.* DT.* NN.* VB.*
400227,CC.* PR.* JJ.* NN.*
400228,VB.* RB.* PR.* VB.*
400229,NN.* DT.* PR.* NN.*
400230,RB.* RB.* DT.* PR.*
400231,PR.* CC.* DT.* NN.*
400232,CC.* VB.* DT.* JJ.*
400233,VB.* DT.* JJ.* CC.*
400234,DT.* JJ.* CC.* VB.*
400235,PR.* JJ.* NN.* DT.*
400236,JJ.* NN.* DT.* VB.*
400237,PR.* DT.* NN.* LM
400238,RB.* VB.* CC.* PR.*
400239,VB.* CC.* DT.* JJ.*
400422,VB.* ng mga pinaka-magkakaibang
400240,CC.* NN.* CC.* JJ.*
400241,CC.* CC.* VB.* DT.*
400242,DT.* NN.* LM CC.*
400243,CC.* JJ.* NN.* CC.*
400244,LM VB.* CC.* JJ.*
400245,CD.* NN.* DT.* NN.*
400246,NN.* DT.* NN.* CC.*
400247,CC.* NN.* NN.* CD.*
400248,NN.* DT.* NN.* PR.*
400249,PR.* CC.* PR.* NN.*
400250,CC.* FW CC.* VB.*
400251,CCT NNC CCB DTCP
400252,VBOF DTC DTCP NNC
400253,DTC DTCP NNC CCT
400254,CCB DTCP NNC CCT
400255,RBK RBQ VBW DTC
400256,RBQ VBW DTC DTCP
400257,NNC CCB DTCP NNC_PMC
400258,DTC CCR PMS JJD
400423,DTC pag-kakahiwahiwalay ng mga
400259,CCR PMS JJD CCB
400424,pag-kakahiwahiwalay ng mga CCB
400260,VBAF CCT CDB NNC
400261,VBW DTC NNC CCB
400262,RBK RBQ DTC VBTR
400263,CCB NNC PRO CCT
400264,PRI PRO_CCP NNC CCP
400265,JJD CCP VBOF DTC
400266,DTC PRI CCT DTCP
400267,VBTS PRS CCB NNC
400268,DTC NNC CCP PRO
400269,CCR VBS LM VBTF
400270,VBS LM VBTF PRP
400271,CCR PMS NNC CCB
400272,NNC CCP PRO LM
400273,LM RBF RBI PRS
400274,VBS RBI DTP NNP
400275,CCR VBTR PRS CCB
400276,VBTR PRS CCB NNP_PMC
400277,VBS PRS_CCP VBAF CCB
400278,PRS_CCP VBAF CCB DTCP
400279,VBAF CCB DTCP NNC
400280,CCT NNC CCB VBN_CCP
400281,NNC CCB VBN_CCP NNC_PMP
400282,DTCP NNC CCP VBOF
400283,DTC DTCP NNC LM
400284,DTCP NNC LM RBM
400285,NNC LM RBM VBAF
400286,LM RBM VBAF CCT
400287,VBOF DTC PRI_CCP NNC
400288,CCT DTCP NNC CCB
400289,DTC NNC LM VBTR
400290,NNC LM VBTR CCB
400291,CCB NNC_CCP PMS NNC
400292,NNC_CCP PMS NNC LM
400293,RBK RBQ VBOF DTC
400294,CCT NNC RBK RBQ
400295,NNC RBK RBQ VBOF
400296,DTC DTCP NNC_CCP PMS
400297,DTCP NNC_CCP PMS NNC
400298,NNC_CCP PMS NNC CCT
400299,PMS NNC CCT DTCP
400300,CCT NNC NNC_CCP PMS
400301,DTC JJCS_JJD CCP NNC
400302,JJCS_JJD CCP NNC CCB
400303,CCB VBOF DTC NNC
400304,DTC NNC NNC_CCP PMS
400305,NNC_CCP PMS NNC VBW
400306,PMS NNC VBW CCT
400307,VBH PRS_CCP PRI_CCP NNC
400308,PRS_CCP PRI_CCP NNC NNC_CCP
400309,PRI_CCP NNC NNC_CCP PMS
400310,PMS NNC CCT PRSP_CCP
400311,NNC CCT PRSP_CCP DTCP
400312,CCT PRSP_CCP DTCP NNC
400313,NNC CCB NNC_CCP PMS
400314,JJD CCP NNC CCT
400315,DTC JJCS PMS JJD_CCP
400316,JJCS_JJD_CCP NNC CCB NNC_PMC
400317,DTCP NNC CCT PRSP_CCP
400318,RBK RBQ VBTF DTC
400319,RBQ VBTF DTC NNC
400320,NNC LM RBM VBW
400321,DTC NNC CCB NNC_PMC
400322,CCT CCT DTCP NNC_PMP
400323,NNC RBK RBQ DTC
400324,NNC CCT CCT PRI_CCP
400325,CCB PRI_CCP NNC CCP
400326,CCB VBW DTC JJCS_JJD
400327,VBW DTC JJCS_JJD CCP
400328,DTC JJCS_JJD CCP VBAF
400329,JJCS_JJD CCP VBAF CCP
400330,CCP VBAF CCP NNC_PMC
400331,DTC NNC CCT NNC_PMP
400332,PRI_CCP JJD_CCP NNC DTC
400333,CCB PRSP_CCP DTCP NNC
400334,VBH PRO_CCP DTCP NNC
400335,PRO_CCP DTCP NNC CCP
400336,CDB NNPA DTCP NNC
400337,NNPA DTCP NNC CCB
400338,CCB NNC NNPA CDB
400339,CC.* NN.* CCB DTCP
400340,VB.* DT.* DTCP NNC
400341,DT.* DT.* NNC CCT
400342,CC.* DT.* NNC CCT
400343,RB.* RB.* VB.* DTC
400344,RB.* VB.* DTC DTCP
400345,NN.* CC.* DTCP NNC_PMC
400346,DT.* CCR PM.* JJD
400347,CC.* PMS JJD CCB
400348,VB.* CC.* CDB NNC
400349,VB.* DT.* NNC CCB
400350,RB.* RB.* DT.* VBTR
400351,CC.* NN.* PRO CCT
400352,PR.* PR.* NN.* CCP
400353,JJ.* CCP VB.* DTC
400354,DT.* PRI CCT DTCP
400355,VB.* PR.* CCB NNC
400356,DT.* NN.* CC.* PRO
400357,CC.* VB.* LM VBTF
400358,VB.* LM VB.* PRP
400359,CC.* PMS NNC CCB
400360,LM RBF RB.* PRS
400361,VB.* RB.* DT.* NNP
400362,CC.* VB.* PR.* CCB
400363,VB.* PR.* CCB NNP_PMC
400364,VB.* PR.* VBAF CCB
400365,PR.* VBAF CCB DTCP
400366,VB.* CC.* DTCP NNC
400367,CC.* NN.* CCB VBN_CCP
400368,NN.* CC.* VBN_CCP NNC_PMP
400369,DT.* NN.* CC.* VBOF
400370,DT.* DT.* NNC LM
400371,DT.* NNC LM RBM
400372,NN.* LM RBM VBAF
400373,VB.* DTC PRI_CCP NNC
400374,CC.* DT.* NNC CCB
400375,DT.* NNC LM VBTR
400376,NN.* LM VBTR CCB
400377,CC.* NN.* PMS NNC
400378,NN.* PM.* NNC LM
400380,CC.* NN.* RB.* RBQ
400381,NN.* RB.* RB.* VBOF
400382,DT.* DTCP NNC_CCP PMS
400383,DT.* NN.* PMS NNC
400384,NN.* PM.* NNC CCT
400385,PM.* NN.* CC.* DTCP
400386,CC.* NN.* NNC_CCP PMS
400387,JJ.* CC.* NNC CCB
400388,CC.* VB.* DTC NNC
400389,DT.* NNC NNC_CCP PMS
400390,NN.* PM.* NNC VBW
400391,PM.* NN.* VB.* CCT
400392,VB.* PRS_CCP PRI_CCP NNC
400393,PR.* PR.* NNC NNC_CCP
400394,PR.* NN.* NNC_CCP PMS
400395,PM.* NNC CC.* PRSP_CCP
400396,NN.* CC.* PRSP_CCP DTCP
400397,CC.* PR.* DTCP NNC
400398,NN.* CC.* NNC_CCP PMS
400399,JJ.* CCP NN.* CCT
400400,DT.* JJCS PMS JJD_CCP
400401,JJ.* NN.* CCB NNC_PMC
400402,CC.* CC.* DTCP NNC_PMP
400403,NN.* RB.* RB.* DTC
400404,CC.* PR.* NNC CCP
400405,CCB VB.* DTC JJCS_JJD
400406,CC.* VB.* CCP NNC_PMC
400407,DT.* NN.* CC.* NNC_PMP
400408,PR.* JJD_CCP NNC DTC
400410,VB.* PR.* DTCP NNC
400411,PR.* DT.* NN.* CCP
400412,CD.* NN.* DT.* NNC
400413,NN.* DT.* NNC CCB
400414,CC.* NN.* NN.* CDB
500001,CC.* CC.* NN.* CC.* DT.*
500002,CC.* NN.* CC.* DT.* NN.*
500003,DT.* NN.* VB.* RB.* CC.*
500004,VB.* RB.* CC.* DT.* NN.*
500005,RB.* CC.* DT.* NN.* CC.*
500006,JJ.* CC.* VB.* DT.* DT.*
500007,CC.* VB.* DT.* DT.* NN.*
500008,VB.* DT.* DT.* NN.* CC.*
500009,DT.* DT.* NN.* CC.* PR.*
500010,DT.* NN.* CC.* PR.* NN.*
500011,NN.* CC.* PR.* NN.* CC.*
500012,NN.* CC.* VB.* CC.* DT.*
500013,CC.* VB.* CC.* DT.* NN.*
500014,VB.* CC.* DT.* NN.* CC.*
500015,CC.* DT.* NN.* CC.* NN.*
500016,DT.* NN.* CC.* NN.* CC.*
500017,RB.* RB.* VB.* DT.* DT.*
500018,RB.* VB.* DT.* DT.* NN.*
500273,RB.* naglipana ang mga singkit
500019,PR.* CC.* NN.* CC.* VB.*
500020,CC.* NN.* CC.* VB.* CC.*
500021,DT.* CC.* PM.* JJ.* CC.*
500274,DT.* pag-kakahiwahiwalay ng mga CC.*
500022,CC.* PR.* DT.* NN.* JJ.*
500023,JJ.* CC.* NN.* CC.* VB.*
500024,VB.* CC.* CD.* NN.* CC.*
500025,VB.* RB.* DT.* NN.* CC.*
500026,CC.* RB.* RB.* CC.* NN.*
500027,VB.* PR.* CC.* JJ.* CC.*
500028,PR.* CC.* JJ.* CC.* NN.*_PM.*
500029,VB.* PR.* DT.* NN.* CC.*
500030,PR.* DT.* NN.* CC.* NN.*
500031,PR.* RB.* RB.* DT.* VB.*
500032,RB.* RB.* DT.* VB.* PR.*_PM.*
500033,JJ.* CC.* NN.* PR.* CC.*
500275,JJ.* ko sa PR.* (tumawa).
500034,CC.* NN.* RB.* CC.* NN.*
500035,CC.* VB.* PR.* DT.* NN.*
500036,VB.* PR.* DT.* NN.* RB.*
500037,DT.* PR.* NN.* DT.* VB.*
500038,PR.* NN.* DT.* VB.* CC.*
500039,CC.* VB.* DT.* PR.* CC.*
500040,VB.* DT.* PR.* CC.* DT.*
500041,CC.* CC.* VB.* PR.* CC.*
500042,CC.* VB.* PR.* CC.* NN.*
500043,PR.* JJ.* CC.* NN.* CC.*
500044,CC.* PR.* DT.* NN.* CC.*
500045,PR.* DT.* NN.* CC.* PR.*
500046,NN.* CC.* PR.* CC.* DT.*
500047,CC.* VB.* LM VB.* PR.*
500048,CC.* RB.* VB.* CC.* PR.*_PM.*
500049,VB.* PR.* CC.* NN.* PR.*_PM.*
500276,VB.* siya ng simpatya rito.
500050,CC.* PR.* LM VB.* RB.*
500051,RB.* RB.* CC.* VB.* CC.*
500052,PR.* LM VB.* CC.* VB.*
500053,LM VB.* CC.* VB.* JJ.*
500054,VB.* CC.* PR.* NN.* CC.*
500055,CC.* PR.* NN.* CC.* CC.*
500056,PR.* NN.* CC.* CC.* PR.*
500057,NN.* CC.* CC.* PR.* LM
500058,DT.* NN.* CC.* PR.* LM
500059,VB.* PR.* CC.* RB.* VB.*
500060,PR.* CC.* RB.* VB.* DT.*
500061,CC.* CC.* PR.* LM RB.*
500062,CC.* PR.* LM RB.* RB.*
