General POS,Detailed POS
CC.* DT.* DT.* NN.*_CC.* VB.* LM RB.* VB.* PM.* NN.* CC.* PM.* RB.*_CC.* VB.* CC.* VB.* PM.* CC.* NN.* CC.* DT.* PR.*_CC.* JJ.*_CC.* NN.* PM.*,CCA DTC DTCP NNC_CCP VBTS LM RBF VBTS PMS NNC CCP PMS RBT_CCP VBOF CCT VBW PMS CCT NNC CCB DTCP PRI_CCP JJD_CCP NNC PMP
DT.* VB.*_VB.* CC.* NN.* CC.* NN.* LM VB.*_CC.* PM.* PR.*_CC.* JJ.*_CC.* NN.* CC.* VB.* CC.* NN.* PM.*,DTC VBTR_VBAF CCT NNP CCP NNP LM VBTS_CCP PMS PRO_CCP JJD_CCP NNC CCP VBAF CCB NNC PMC
CC.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* JJ.* CC.* VB.* CC.* VB.* CC.* NN.* PM.*,CCA DTC NNC CCB NNC CCB NNC CCP JJD CCP VBAF CCA VBAF CCB NNC PMP
DT.* PR.* CC.* PR.* CC.* NN.* PR.* LM PR.*_CC.* VB.* NN.* PM.* PM.*,DTC PRI CCB PRO CCT NNC PRS LM PRS_CCP VBTR NNC PMP PMS
CC.* JJ.* RB.* PR.*_CC.* RB.*_CC.* PM.* FW PM.*,CCP JJCC RBI PRO_CCP RBI_CCP PMS FW PMC
DT.* NN.* LM RB.* PM.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* NN.* CC.* NN.* CC.* NN.* RB.*_CC.* JJ.* PM.* CD.* CC.* JJ.* PM.* CD.* CC.* NN.* RB.* CC.* CC.* PM.* VB.* CC.* VB.*_CC.* NN.* PM.*,DTC NNC LM RBD PMS NNC CCT NNC CCB NNP CCT NNC CCB NNP NNP CCT NNP CCB NNP RBW_CCP JJN PMS CDB CCA JJN PMS CDB CCB NNP RBR CCT CCR PMS VBTF CCB VBTR_CCP NNC PMC
CC.* VB.* CC.* JJ.* JJ.*_CC.* NN.* PM.*,CCP VBAF CCB JJCC JJD_CCP NNC PMC
CC.* VB.* DT.* JJ.* PR.* RB.*_CC.* RB.* PR.* PM.*,CCT VBW DTC JJCC PRI RBI_CCP RBR PRSP PMC
DT.* NN.* NN.* NN.* NN.* NN.* PM.*,DTP NNP NNP NNP NNPA NNP PMC
CC.* VB.*_CC.* VB.* CC.* VB.*_CC.* NN.* CC.* NN.* CC.* NN.* PM.*,CCP VBTS_CCP VBOF CCA VBN_CCP NNC CCT NNP CCB NNP PMP
DT.* FW CC.* NN.* NN.* PM.*,DTC FW CCP NNP NNP PMC
VB.* DT.* NN.* NN.* CC.* CC.* JJ.*_CC.* NN.* CC.* NN.* RB.*_CC.* JJ.* PM.* CD.* CC.* NN.* PM.*,VBAF DTP NNP NNP CCP CCT JJN_CCP NNC CCT NNC RBW_CCP JJN PMS CDB CCB NNP PMC
CC.* PR.* LM VB.* RB.* PM.* PM.*,CCA PRO LM VBTS RBI PMC PMS
PM.*  VB.* RB.* PR.*_CC.* VB.*_CC.* JJ.* PM.* PM.*,PMS  VBN RBI PRO_CCP VBTR_CCP JJD PMC PMS
DT.* NN.* LM VB.* CC.* VB.* CC.* RB.* NN.* DT.* VB.* CC.* NN.* CC.* PR.*_CC.* PM.* JJ.*_CC.* NN.* CC.* NN.* PM.* PM.*,DTP NNP LM VBTS CCB VBOF CCP RBF NNP DTC VBTS CCT NNC CCT PRI_CCP PMS JJD_CCP NNC CCB NNP PMS PMC
CC.* VB.*_VB.* PR.* DT.* NN.* PM.*,CCT VBTS_VBOF PRO DTP NNP PMC
CC.* VB.* RB.* RB.* VB.* DT.* NN.* CC.* JJ.*_CC.* NN.* CC.* VB.* DT.* NN.* VB.* VB.* CC.* NN.* CC.* NN.* PM.*,CCA VBOF RBK RBQ VBOF DTC NNP CCB JJN_CCP NNC CCB VBW DTC NNC VBW VBW CCT NNC CCB NNP PMP
CC.* VB.* CC.* PM.* RB.* VB.* CC.* PR.* LM VB.* CC.* PR.*_CC.* CD.* CC.* NN.* PM.* PM.*,CCA VBTS CCP PMS RBF VBTS CCP PRO LM VBTS CCT PRI_CCP CDB CCP NNC PMP PMS
NN.* NN.* LM VB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* CC.* NN.* NN.* CC.* NN.* PR.* DT.* NN.* CC.* VB.* PR.* JJ.* CC.* DT.* NN.* CC.* NN.* NN.* LM VB.* CC.* DT.* NN.* CC.* NN.* LM VB.* CC.* NN.* CC.* PM.* JJ.* CC.* JJ.* CC.* NN.* CC.* VB.* DT.* NN.* CC.* PR.*_CC.* NN.* PM.*,NNP NNP LM VBTS CCT NNP CCB NNP CCA NNP CCB NNP CCP DTP NNP NNP CCT NNP NNP CCR NNC PRS DTC NNC CCP VBOF PRS JJD CCP DTC NNC CCT NNP NNP LM VBTS CCP DTC NNP CCB NNP LM VBH CCT NNC CCP PMS JJD CCA JJD CCP NNC CCT VBW DTC NNC CCT PRC_CCP NNC PMC
CC.* VB.*_VB.* DT.* VB.* CC.* NN.* CC.* DT.* NN.* LM VB.*_CC.* RB.* JJ.*_CC.* NN.* PM.*,CCA VBTS_VBOF DTC VBTR CCB NNP CCP DTC NNC LM VBTS_CCP RBD JJN_CCP NNC PMC
VB.* DT.* PR.*_CC.* NN.* PM.*,VBW DTC PRQ_CCP NNC PMC
CC.* VB.* CC.* DT.* NN.* PM.* LM VB.*_CC.* DT.* DT.* JJ.* CC.* NN.* LM VB.*_CC.* PR.*_CC.* NN.* CC.* VB.* DT.* NN.* PM.* CC.* VB.* DT.* NN.* PM.* CC.* VB.* CC.* NN.* CC.* PR.*_CC.* FW CC.* VB.* CC.* VB.* DT.* DT.* NN.* PM.* PM.*,CCA VBTS CCP DTP NNP PMS LM VBTR_CCP DTC DTCP JJD CCP NNC LM VBN_CCP PRI_CCP NNC CCP VBOF DTC NNP PMS CCA VBS DTP NNP PMS CCP VBAF CCT NNC CCT PRSP_CCP FW CCA VBAF CCA VBOF DTC DTCP NNC PMP PMS
DT.* NN.* NN.* NN.* PM.* NN.* NN.* NN.* PM.*,DTP NNP NNP NNP PMS NNP NNPA NNP PMC
PR.* LM JJ.* CC.* VB.*_CC.* VB.* JJ.* CC.* RB.* RB.* RB.* RB.* PM.* PM.*,PRO LM JJD CCP VBS_CCP VBH JJD CCB RBK RBQ RBI RBI PMP PMS
DT.* NN.* LM RB.*_CC.* VB.* RB.*_CC.* NN.* PM.*,DTC NNC LM RBD_CCP VBTS RBW_CCP NNP PMC
NN.* NN.* LM VB.*_VB.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* NN.*_CC.* NN.* PM.*,NNP NNP LM VBTS_VBOF DTC NNC CCB NNP CCT NNC CCB NNC_CCP NNC PMC
JJ.* PM.* CD.* CC.* NN.* PM.*,JJN PMS CDB CCB NNP PMC
CC.* VB.* DT.* DT.* NN.* CC.* RB.* VB.* CC.* NN.* CC.* JJ.*_CC.* NN.* PM.*,CCA VBTS DTC DTCP NNC CCB RBF VBW CCT NNC CCB JJN_CCP NNC PMC
NN.*_CC.* NN.* NN.* LM VB.* CC.* VB.*_CC.* NN.* CC.* NN.* CC.* NN.* RB.* RB.* VB.* DT.* NN.* NN.* PM.*,NNP_CCP NNP NNPA LM VBTS CCP VBN_CCP NNC CCB NNC CCT NNC RBK RBQ VBTS DTC NNP NNP PMC
CC.* DT.* NN.* CC.* NN.* CC.* CC.* RB.* VB.*_CC.* NN.* LM VB.* PM.* VB.* RB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* PR.* PM.*,CCA DTC NNC CCB NNC CCT CCT RBF VBW_CCP NNC LM VBW PMS VBTF RBI CCB NNC CCT NNC CCB NNC CCT PRQ PMP
CC.* VB.* CC.* PM.* PR.* CC.* VB.* CC.* RB.*_CC.* VB.* RB.* CC.* DT.* RB.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* PM.* CC.* DT.* NN.* NN.* PM.* LM RB.* VB.* CC.* NN.* CC.*,CCA VBTS CCP PMS PRO CCA VBTS CCA RBT_CCP VBW RBI CCB DTCP RBF JJD_CCP NNC CCT NNC CCA NNC PMS CCA DTC NNP NNP PMS LM RBF VBTR CCT NNC CCB
RB.* CC.* JJ.* CC.* NN.* PM.*,RBR CCT JJD CCP NNC PMC
CC.* VB.* RB.* CC.* RB.* VB.* CC.* JJ.*_CC.* NN.* DT.* VB.* PM.*,CCA VBTS RBI CCP RBF VBTF CCT JJN_CCP NNC DTC VBOF PMP
DT.* NN.* DT.* NN.* NN.* LM VB.* JJ.* CC.* PR.*_CC.* JJ.*_CC.* NN.* RB.* RB.* CC.* PR.* DT.* PR.*_CC.* PR.*_CC.* NN.* RB.* RB.* CC.* NN.* PM.*,DTC NNC DTP NNP NNP LM VBTS JJD CCT PRSP_CCP JJD_CCP NNC RBK RBQ CCB PRS DTC PRSP_CCP PRQ_CCP NNC RBI RBI CCP NNC PMP
DT.* NN.* NN.* NN.* NN.* NN.* PM.*,DTP NNP NNP NNP NNPA NNP PMC
RB.* RB.* VB.* PR.* PM.* NN.* PR.* DT.* NN.* NN.* CC.* JJ.*_JJ.*_CC.* NN.* PM.*,RBK RBQ VBTS PRS PMS NNC PRS DTP NNP NNP CCT JJCS_JJD_CCP NNC PMP
PR.* DT.* JJ.* PM.* CD.* PR.*_CC.* NN.* CC.* CD.* NN.* CC.* VB.*_CC.* JJ.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,PRO DTC JJN PMS CDB PRS_CCP NNC CCT CDB NNC CCB VBTR_CCP JJD CCP NNC CCB NNC CCP NNC CCT NNPA PMC
DT.* NN.* CC.* NN.* LM VB.* CC.* CD.* CC.* CD.*_CC.* NN.* PM.*,DTPP NNP CCA NNP LM VBTR CCT CDB CCA CDB_CCP NNC PMP
CC.* NN.* CC.* NN.* PM.*,CCT NNC CCB NNC PMC
CC.* VB.* CC.* PR.* CC.* VB.* CC.* NN.* CC.* DT.* NN.* NN.* PM.*,CCP VBTS CCT PRSP CCT VBTR CCT NNC CCP DTP NNP NNP PMC
CC.* VB.* PR.*_CC.* VB.* CC.* CD.* CC.* NN.* CC.* JJ.*_CC.* NN.* PM.*,CCT VBTR PRS_CCP VBTS CCB CDB CCP NNC CCT JJN_CCP NNC PMP
VB.* CC.* NN.* CC.* NN.* NN.* NN.* NN.* CC.* DT.* NN.* NN.* DT.* PR.*_CC.* JJ.*_CC.* JJ.* CC.* NN.* CC.* NN.* RB.*_CC.* JJ.*_CC.* NN.* CC.* CD.* NN.* NN.* NN.* CD.* CC.* NN.* NN.* NN.* NN.* PM.*,VBTS CCB NNC CCT NNPA NNP NNP NNP CCP DTP NNP NNP DTC PRSP_CCP JJN_CCP JJD CCP NNC CCT NNC RBW_CCP JJD_CCP NNP CCT CDB NNP NNP NNP CDB CCT NNP NNP NNP NNP PMP
VB.* DT.* NN.* CC.* CD.* CC.* NN.* NN.* CC.* DT.* CD.* FW CC.* NN.* NN.* CC.* NN.* PM.*,VBTS DTP NNP CCB CDB CCP NNC NNPA CCB DTC CDB FW CCP NNC NNPA CCT NNC PMC
DT.* NN.* NN.* PM.*,DTP NNP NNP PMC
DT.* NN.* LM VB.* CC.* PR.*_CC.* NN.* RB.* VB.* DT.* JJ.* CC.* PR.* LM RB.* RB.*_CC.* PM.* JJ.* CC.* NN.* PM.*,DTP NNP LM VBAF CCB PRI_CCP NNC RBW VBTS DTC JJN CCA PRS LM RBL RBI_CCP PMS JJN CCP NNC PMC
CC.* CC.* PR.*_CC.* NN.* DT.* NN.* NN.* PM.*,CCR CCT PRSP_CCP NNC DTP NNP NNP PMC
DT.* NN.* PM.*,DTPP NNP PMC
LM VB.* CC.* JJ.*_CC.* NN.* CC.*_CC.* DT.* PR.*_CC.* NN.* CC.* DT.* NN.* LM RB.* RB.*_CC.* PM.* CD.* PM.*,LM VBTS CCT JJN_CCP NNC CCT_CCP DTC PRSP_CCP NNC CCP DTP NNP LM RBL RBI_CCP PMS CDB PMP
NN.* NN.* PM.*,NNP NNP PMC
CC.* NN.* DT.* JJ.* CC.* JJ.*_CC.* JJ.*_CC.* NN.* PM.*,CCA NNP DTC JJD CCT JJN_CCP JJN_CCP NNC PMP
NN.* NN.* PM.*,NNP NNP PMC
DT.* NN.* NN.* CC.* NN.* NN.* DT.* CC.* CC.* RB.*_CC.* PM.* CD.* CC.* PR.* LM RB.*_CC.* RB.* NN.* PM.*,DTPP NNP NNP CCA NNP NNP DTC CCB CCT RBI_CCP PMS CDB CCA PRP LM RBW_CCP RBL NNP PMP
CC.* DT.* NN.* NN.* LM VB.*_VB.* CC.* RB.*_CC.* PM.* JJ.* PM.*,CCA DTP NNP NNP LM VBTR_VBAF CCT RBI_CCP PMS JJN PMP
VB.* CC.* NN.* NN.* CC.* CC.* JJ.*_CC.* NN.* CC.* DT.* NN.* LM VB.* RB.* JJ.* PM.* CD.* CC.* NN.* VB.* CC.* JJ.*_CC.* NN.* CC.* NN.* PM.*,VBTS CCB NNPA NNP CCT CCT JJD_CCP NNP CCP DTC NNC LM VBTS RBW JJN PMS CDB CCP NNC VBW CCB JJD_CCP NNC CCB NNC PMP
VB.* DT.* NN.* CC.* VB.*_CC.* CC.* VB.* PR.* RB.* JJ.*_CC.* NN.* PM.*,VBTS DTC NNP CCA VBTR_CCP CCP VBTF PRO RBW JJN_CCP NNC PMP
JJ.* CC.* VB.*_CC.* JJ.*_CC.* NN.*_CC.* JJ.*_CC.* NN.* CC.* NN.* NN.* CC.* NN.* DT.* VB.* CC.* NN.* PM.*,JJD CCP VBN_CCP JJD_CCP NNC_CCP JJD_CCP NNC CCT NNP NNP CCT NNP DTC VBTS CCB NNC PMP
RB.* RB.* DT.* JJ.*_CC.* NN.* LM VB.* CC.* JJ.* CD.* CC.* NN.*_CC.* RB.* NN.* CC.* NN.* PM.*,RBD RBI DTC JJD_CCP NNC LM VBTF CCT JJCC CDB CCP NNC_CCP RBL NNC CCT NNP PMP
PR.* DT.* NN.* PM.* NN.*_CC.* NN.* CC.* NN.* CC.* VB.* CC.* DT.* JJ.*_CC.* NN.* PM.*,PRO DTC NNC PMS NNC_CCP NNC CCB NNC CCP VBAF CCT DTCP JJD_CCP NNC PMC
DT.* NN.* CC.* JJ.*_CC.* NN.* LM VB.* CC.* NN.* CC.* NN.* CC.* JJ.* JJ.*_CC.* NN.*_CC.* NN.* NN.* PM.* NN.* PM.*,DTC NNC CCB JJD_CCP NNC LM VBTR CCB NNC CCT NNC CCB JJCC JJN_CCP NNC_CCP NNC NNC PMS NNC PMP
CC.* CC.* VB.* DT.* DT.* JJ.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,CCT CCP VBTR DTC DTCP JJD CCP NNC CCT NNPA CCA NNP PMP
DT.* NN.* LM RB.* CC.* VB.*_VB.* CC.* RB.* PR.* VB.* CC.* DT.* NN.* PM.*,DTC NNC LM RBD CCP VBTR_VBAF CCT RBF PRO VBTR CCT DTCP NNC PMP
DT.* NN.* CC.* PR.* LM PM.* RB.* CC.* JJ.* CC.* NN.* PM.* CC.* NN.* CC.* NN.* RB.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* CD.* PM.* NN.* RB.* VB.* RB.* CC.* CC.* NN.* CC.* VB.* DT.* DT.* NN.* RB.*_CC.* JJ.*_CC.* NN.* PM.*,DTC NNC CCP PRO LM PMS RBD CCA JJD CCP NNC PMS CCT NNC CCB NNC RBR CCT NNC CCB NNPA CCP DTP NNP CDB PMS NNP RBW VBW RBI CCR CCT NNC CCP VBOF DTC DTCP NNC RBW_CCP JJD_CCP NNC PMP
DT.* NN.* LM RB.*_CC.* VB.* RB.* CC.* DT.* NN.* CC.* NN.* CC.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,DTC NNC LM RBD_CCP VBTF RBW CCT DTCP NNC CCB NNP CCT CCT NNPA CCA NNP CCT NNC CCB NNC PMP
DT.* VB.*_CC.* NN.* LM VB.* RB.* VB.* JJ.* CC.* JJ.* CC.* CC.* PM.* JJ.* CC.* VB.* DT.* NN.* CC.* JJ.* RB.* CC.* NN.* PM.*,DTC VBTS_CCP NNC LM VBTF RBW VBH JJD CCP JJD CCP CCR PMS JJD CCB VBW DTC NNC CCP JJD RBL CCT NNC PMP
RB.* JJ.* RB.* DT.* NN.* CC.* CC.* FW PM.* NN.* CC.* NN.* PM.*,RBW JJD RBI DTC NNC CCT CCT FW PMS NNC CCT NNP PMC
DT.* NN.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* LM VB.* CC.* DT.* NN.* CC.* FW PM.* NN.* CC.* NN.* LM VB.*_CC.* PM.* VB.*_CC.* PR.* PM.* CC.* CC.* CC.* NN.* CC.* JJ.*_JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* PM.*,DTC NNP NNP CCB NNP CCP DTP NNP NNP LM VBTS CCP DTC NNC CCT FW PMS NNC CCT NNP LM VBTF_CCP PMS VBTF_CCP PRI PMS CCT CCT CCB NNC CCB JJCS_JJD_CCP NNC CCT NNC CCT NNP PMP
VB.* CC.* DT.* NN.*_CC.* NN.* DT.* NN.* CC.* PR.*_CC.* NN.* CC.* NN.* CC.* VB.* PR.* CC.* NN.* NN.* PM.*,VBTS CCB DTCP NNC_CCP NNP DTC NNC CCB PRI_CCP NNC CCB NNP CCP VBTS PRP CCT NNC NNC PMP
VB.* CC.* VB.*_VB.* RB.*_CC.* NN.* CC.* NN.* DT.* NN.* NN.* CC.* NN.* PM.*,VBTR CCP VBTR_VBAF RBW_CCP NNC CCB NNC DTC NNP NNP CCT NNP PMP
DT.* NN.* CC.* NN.* CC.* JJ.*_CC.* NN.* CC.* CC.* DT.* VB.* CC.* CC.* DT.* NN.* LM VB.* CC.* DT.* DT.* NN.* CC.* VB.* CC.* NN.* CC.* DT.* NN.* NN.* CC.* NN.* NN.* CC.* CC.* PR.* RB.*_CC.* DT.* NN.* CC.* PR.* PM.* NN.* PR.*_CC.* NN.* CC.* DT.* NN.* NN.* LM RB.* VB.* CC.* VB.* PM.*,DTC NNC CCT NNC CCB JJD_CCP NNC CCA CCT DTCP VBTR CCB CCB DTCP NNC LM VBOB CCA DTC DTCP NNC CCP VBTS CCT NNP CCP DTPP NNP NNP CCA NNP NNP CCA CCA PRI RBI_CCP DTCP NNC CCT PRI PMS NNCA PRI_CCP NNC CCB DTP NNP NNP LM RBF VBTS CCP VBAF PMP
NN.* PM.*,NNP PMP
PR.*_CC.* NN.* CC.* CC.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* DT.* VB.* DT.* NN.* PM.*,PRI_CCP NNC CCT CCT JJD_CCP NNC CCB NNP CCP NNP DTC VBTS DTC NNC PMP
DT.* DT.* NN.* CC.* JJ.*_CC.* NN.* CC.* NN.* LM VB.* CC.* NN.* RB.*_CC.* NN.* RB.* CC.* JJ.*_CC.* CC.* PM.* NN.* CC.* DT.* NN.* CC.* NN.* VB.* DT.* DT.* PM.* PR.*_CC.* NN.* PM.* PM.*,DTC DTCP NNC CCB JJN_CCP NNC CCT NNPA LM VBOF CCB NNC RBW_CCP NNC RBR CCT JJD_CCP CCR PMS NNC CCT DTCP NNC CCB NNPA VBS DTC DTCP PMS PRI_CCP NNC PMP PMS
CC.* PR.*_CC.* NN.* VB.* DT.* RB.* PM.* FW NN.* NN.* LM VB.* CC.* NN.* CC.* NN.* CC.* CC.* JJ.*_CC.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* PM.*,CCT PRQ_CCP NNC VBW DTC RBM PMS FW NNC NNC LM VBTS CCT NNC CCB NNP CCA CCB JJD_CCP NNC CCB NNP CCP DTP NNP NNP PMC
CC.* VB.* PM.* NN.* CC.* NN.* PM.*,CCP VBTS PMS NNC CCB NNC PMC
LM VB.* CC.* DT.* NN.* LM PM.* VB.*_CC.* NN.* PM.* PM.*,LM VBTS CCP DTC NNC LM PMS VBN_CCP NNC PMP PMS
DT.* NN.*_CC.* NN.* PM.*,DTC NNC_CCP NNC PMC
DT.* NN.* CC.* NN.* NN.* PM.*,DTC NNP CCB NNP NNP PMC
DT.* DT.* NN.* CC.* NN.* NN.* LM RB.*_CC.* VB.* DT.* DT.* NN.*_CC.* NN.* CC.* NN.* CC.* VB.* DT.* PR.*_CC.* NN.* PM.*,DTC DTCP NNC CCB NNP NNP LM RBD_CCP VBOF DTC DTCP NNC_CCP NNC CCB NNPA CCT VBOF DTC PRSP_CCP NNC PMP
