Pattern_ID,POS_N-Gram,Lexeme_N-Gram,MLM_Scores,Comparison_Replacement_Matrix,Final_Hybrid_N-Gram
600080,PR.* DT.* NN.* CC.* VB.* CC.*,,,,PR.* DT.* NN.* CC.* VB.* CC.*
600081,NN.* CD.* NN.* DT.* NN.* CC.*,,,,NN.* CD.* NN.* DT.* NN.* CC.*
600082,CD.* NN.* DT.* NN.* CC.* NN.*,,,,CD.* NN.* DT.* NN.* CC.* NN.*
600083,DT.* NN.* CC.* NN.* NN.* CD.*,,,,DT.* NN.* CC.* NN.* NN.* CD.*
600084,NN.* CC.* NN.* NN.* CD.* NN.*,,,,NN.* CC.* NN.* NN.* CD.* NN.*
600085,CC.* NN.* NN.* CD.* NN.* DT.*,,,,CC.* NN.* NN.* CD.* NN.* DT.*
600086,NN.* NN.* CD.* NN.* DT.* NN.*,,,,NN.* NN.* CD.* NN.* DT.* NN.*
600087,VB.* PR.* CC.* PR.* NN.* CC.*,,,,VB.* PR.* CC.* PR.* NN.* CC.*
600088,CCT CCT NNC CCB DTCP NNC,,,,CCT CCT NNC CCB DTCP NNC
600089,NNC CCT CCT NNC CCB DTCP,,,,NNC CCT CCT NNC CCB DTCP
600090,VBS PRS_CCP VBAF CCB DTCP NNC,,,,VBS PRS_CCP VBAF CCB DTCP NNC
600091,PRS_CCP VBAF CCB DTCP NNC CCB,,,,PRS_CCP VBAF CCB DTCP NNC CCB
600092,VBAF CCB DTCP NNC CCB NNC,,,,VBAF CCB DTCP NNC CCB NNC
600093,CCB DTCP NNC CCB NNC CCT,,,,CCB DTCP NNC CCB NNC CCT
600094,DTCP NNC CCB NNC CCT NNC,,,,DTCP NNC CCB NNC CCT NNC
600095,CCB NNC CCT NNC CCB VBN_CCP,,,,CCB NNC CCT NNC CCB VBN_CCP
600096,NNC CCT NNC CCB VBN_CCP NNC_PMP,,,,NNC CCT NNC CCB VBN_CCP NNC_PMP
600097,NNC_CCP PMS NNC CCT DTCP NNC,,,,NNC_CCP PMS NNC CCT DTCP NNC
600098,PMS NNC CCT DTCP NNC CCB,,,,PMS NNC CCT DTCP NNC CCB
600099,NNC CCT DTCP NNC CCB DTCP,,,,NNC CCT DTCP NNC CCB DTCP
600100,CCT DTCP NNC CCB DTCP NNC,,,,CCT DTCP NNC CCB DTCP NNC
600101,NNC CCT NNC NNC_CCP PMS NNC,,,,NNC CCT NNC NNC_CCP PMS NNC
600102,NNC NNC_CCP PMS NNC VBW CCT,,,,NNC NNC_CCP PMS NNC VBW CCT
600103,VBH PRS_CCP PRI_CCP NNC NNC_CCP PMS,,,,VBH PRS_CCP PRI_CCP NNC NNC_CCP PMS
600104,PRS_CCP PRI_CCP NNC NNC_CCP PMS NNC,,,,PRS_CCP PRI_CCP NNC NNC_CCP PMS NNC
600105,NNC NNC_CCP PMS NNC CCT PRSP_CCP,,,,NNC NNC_CCP PMS NNC CCT PRSP_CCP
600106,NNC_CCP PMS NNC CCT PRSP_CCP DTCP,,,,NNC_CCP PMS NNC CCT PRSP_CCP DTCP
600107,PMS NNC CCT PRSP_CCP DTCP NNC,,,,PMS NNC CCT PRSP_CCP DTCP NNC
600108,NNC CCB NNC_CCP PMS NNC CCT,,,,NNC CCB NNC_CCP PMS NNC CCT
600109,CCB NNC_CCP PMS NNC CCT DTCP,,,,CCB NNC_CCP PMS NNC CCT DTCP
600110,DTCP NNC NNC NNC_CCP PMS NNC,,,,DTCP NNC NNC NNC_CCP PMS NNC
600111,JJD CCP NNC CCT CCT NNC,,,,JJD CCP NNC CCT CCT NNC
600112,CCP NNC CCT CCT NNC CCB,,,,CCP NNC CCT CCT NNC CCB
600113,CCB NNC_CCP PMS NNC CCT NNC,,,,CCB NNC_CCP PMS NNC CCT NNC
600114,NNC_CCP PMS NNC CCT NNC RBK,,,,NNC_CCP PMS NNC CCT NNC RBK
600115,PMS NNC CCT NNC RBK RBQ,,,,PMS NNC CCT NNC RBK RBQ
600116,CCB VBW DTC JJCS_JJD CCP VBAF,,,,CCB VBW DTC JJCS_JJD CCP VBAF
600117,VBW DTC JJCS_JJD CCP VBAF CCP,,,,VBW DTC JJCS_JJD CCP VBAF CCP
600118,DTC JJCS_JJD CCP VBAF CCP NNC_PMC,,,,DTC JJCS_JJD CCP VBAF CCP NNC_PMC
600119,NNPA CDB NNPA DTCP NNC CCB,,,,NNPA CDB NNPA DTCP NNC CCB
600120,CDB NNPA DTCP NNC CCB NNC,,,,CDB NNPA DTCP NNC CCB NNC
600121,NNPA DTCP NNC CCB NNC NNPA,,,,NNPA DTCP NNC CCB NNC NNPA
600122,DTCP NNC CCB NNC NNPA CDB,,,,DTCP NNC CCB NNC NNPA CDB
600123,NNC CCB NNC NNPA CDB NNPA,,,,NNC CCB NNC NNPA CDB NNPA
600124,CCB NNC NNPA CDB NNPA DTCP,,,,CCB NNC NNPA CDB NNPA DTCP
600125,NNC NNPA CDB NNPA DTCP NNC,,,,NNC NNPA CDB NNPA DTCP NNC
600199,CCT CC.* NN.* CC.* DT.* NN.*,,,,CCT CC.* NN.* CC.* DT.* NN.*
600200,NNC CCT CC.* NN.* CC.* DT.*,,,,NNC CCT CC.* NN.* CC.* DT.*
600201,VBS PR.* VB.* CC.* DT.* NN.*,,,,VBS PR.* VB.* CC.* DT.* NN.*
600202,PRS_CCP VB.* CC.* DT.* NN.* CC.*,,,,PRS_CCP VB.* CC.* DT.* NN.* CC.*
600203,VBAF CC.* DT.* NN.* CC.* NN.*,,,,VBAF CC.* DT.* NN.* CC.* NN.*
600204,CCB DT.* NN.* CC.* NN.* CC.*,,,,CCB DT.* NN.* CC.* NN.* CC.*
600205,DTCP NN.* CC.* NN.* CC.* NN.*,,,,DTCP NN.* CC.* NN.* CC.* NN.*
600206,CCB NN.* CC.* NN.* CC.* VB.*,,,,CCB NN.* CC.* NN.* CC.* VB.*
600207,NNC CCT NN.* CC.* VB.* NN.*_PM.*,,,,NNC CCT NN.* CC.* VB.* NN.*_PM.*
600208,NNC_CCP PM.* NN.* CC.* DT.* NN.*,,,,NNC_CCP PM.* NN.* CC.* DT.* NN.*
600209,PMS NN.* CCT DT.* NN.* CC.*,,,,PMS NN.* CCT DT.* NN.* CC.*
600210,NNC CCT DT.* NN.* CC.* DT.*,,,,NNC CCT DT.* NN.* CC.* DT.*
600211,NNC CCT NN.* NN.* PM.* NN.*,,,,NNC CCT NN.* NN.* PM.* NN.*
600212,NNC NNC_CCP PM.* NN.* VB.* CC.*,,,,NNC NNC_CCP PM.* NN.* VB.* CC.*
600213,VBH PRS_CCP PR.* NN.* NN.* PM.*,,,,VBH PRS_CCP PR.* NN.* NN.* PM.*
600214,PRS_CCP PR.* NN.* NN.* PM.* NN.*,,,,PRS_CCP PR.* NN.* NN.* PM.* NN.*
600215,NNC NNC_CCP PM.* NN.* CC.* PR.*,,,,NNC NNC_CCP PM.* NN.* CC.* PR.*
600216,NNC_CCP PM.* NN.* CC.* PR.* DT.*,,,,NNC_CCP PM.* NN.* CC.* PR.* DT.*
600217,PMS NN.* CCT PR.* DT.* NN.*,,,,PMS NN.* CCT PR.* DT.* NN.*
600218,NNC CCB NN.* PM.* NN.* CC.*,,,,NNC CCB NN.* PM.* NN.* CC.*
600219,CCB NN.* PM.* NN.* CC.* DT.*,,,,CCB NN.* PM.* NN.* CC.* DT.*
600220,DTCP NN.* NN.* NNC_CCP PMS NN.*,,,,DTCP NN.* NN.* NNC_CCP PMS NN.*
600221,JJD CC.* NN.* CC.* CC.* NN.*,,,,JJD CC.* NN.* CC.* CC.* NN.*
600222,CCP NN.* CC.* CC.* NN.* CC.*,,,,CCP NN.* CC.* CC.* NN.* CC.*
600223,CCB NN.* PM.* NN.* CC.* NN.*,,,,CCB NN.* PM.* NN.* CC.* NN.*
600224,NNC_CCP PM.* NN.* CC.* NN.* RB.*,,,,NNC_CCP PM.* NN.* CC.* NN.* RB.*
600225,PMS NN.* CCT NN.* RB.* RB.*,,,,PMS NN.* CCT NN.* RB.* RB.*
600226,CCB VB.* DT.* JJCS_JJD CC.* VB.*,,,,CCB VB.* DT.* JJCS_JJD CC.* VB.*
600227,VBW DT.* JJCS_JJD CC.* VB.* CC.*,,,,VBW DT.* JJCS_JJD CC.* VB.* CC.*
600228,DTC JJCS_JJD CC.* VBAF CCP NN.*_PM.*,,,,DTC JJCS_JJD CC.* VBAF CCP NN.*_PM.*
600229,NNPA CDB NN.* DTCP NNC CC.*,,,,NNPA CDB NN.* DTCP NNC CC.*
600230,CDB NN.* DTCP NNC CCB NN.*,,,,CDB NN.* DTCP NNC CCB NN.*
600231,NNPA DTCP NN.* CCB NN.* NN.*,,,,NNPA DTCP NN.* CCB NN.* NN.*
600232,DTCP NN.* CC.* NN.* NN.* CD.*,,,,DTCP NN.* CC.* NN.* NN.* CD.*
600233,NNC CCB NN.* NN.* CD.* NN.*,,,,NNC CCB NN.* NN.* CD.* NN.*
600234,CCB NN.* NN.* CDB NNPA DTCP,,,,CCB NN.* NN.* CDB NNPA DTCP
