Pattern_ID,Hybrid_N-Gram,Frequency,Detailed_POS,Rough_POS,POS_Type
200032,VB.* RB.*_PM.*,13.0,.* .*,VB.* RB.*_PM.*,Only Rough POS
200033,NN.*_PM.* RB.*,7.0,.* .*,NN.*_PM.* RB.*,Only Rough POS
200034,CC.* PR.*_PM.*,37.0,.* .*,CC.* PR.*_PM.*,Only Rough POS
200035,PR.*_PM.* NN.*_PM.*,7.0,.* .*,PR.*_PM.* NN.*_PM.*,Only Rough POS
200036,CC.*_PM.* NN.*_PM.*_PM.*,9.0,.* .*,CC.*_PM.* NN.*_PM.*_PM.*,Only Rough POS
200037,DT.* NN.*_PM.*,80.0,.* .*,DT.* NN.*_PM.*,Only Rough POS
200038,NN.*_PM.* NN.*_PM.*,4.0,.* .*,NN.*_PM.* NN.*_PM.*,Only Rough POS
200039,NN.* JJ.*_PM.*,96.0,.* .*,NN.* JJ.*_PM.*,Only Rough POS
200040,CC.* VB.*_PM.*,51.0,.* .*,CC.* VB.*_PM.*,Only Rough POS
200041,PM.*_ NN.*,3117.0,.*,NN.*,Only Rough POS
200042,NN.* FW_PM.*_PM.*,2.0,.* .*,NN.* FW_PM.*_PM.*,Only Rough POS
200043,LM VB.*_PM.*_PM.*,92.0,.* .*,.* VB.*_PM.*_PM.*,Only Rough POS
200044,LM PR.*_PM.*,233.0,.* .*,.* PR.*_PM.*,Only Rough POS
200045,PR.*_PM.* FW,59.0,.* .*,PR.*_PM.* .*,Only Rough POS
200046,JJ.* PR.*,11.0,.* .*,JJ.* PR.*,Only Rough POS
200047,VB.*_PM.* JJ.*,12.0,.* .*,VB.*_PM.* JJ.*,Only Rough POS
200048,CC.* NN.*_NN.*_PM.*,7.0,.* .*,CC.* NN.*_NN.*_PM.*,Only Rough POS
200049,VB.*_PM.* PR.*,3.0,.* .*,VB.*_PM.* PR.*,Only Rough POS
200050,NN.* RB.*_PM.*_PM.*,8.0,.* .*,NN.* RB.*_PM.*_PM.*,Only Rough POS
200051,DT.* VB.*,36.0,.* .*,DT.* VB.*,Only Rough POS
200052,VB.* NN.*,229.0,.* .*,VB.* NN.*,Only Rough POS
200053,CC.* NN.*_PM.*,248.0,.* .*,CC.* NN.*_PM.*,Only Rough POS
200054,NN.* CD.*_PM.*,48.0,.* .*,NN.* CD.*_PM.*,Only Rough POS
200055,JJ.* RB.*,15.0,.* .*,JJ.* RB.*,Only Rough POS
200056,VB.* VB.*,59.0,.* .*,VB.* VB.*,Only Rough POS
200057,CC.*_PM.* JJ.*_PM.*_PM.*,2.0,.* .*,CC.*_PM.* JJ.*_PM.*_PM.*,Only Rough POS
200058,PR.* VB.*,136.0,.* .*,PR.* VB.*,Only Rough POS
200059,CC.*_PM.* VB.*,7.0,.* .*,CC.*_PM.* VB.*,Only Rough POS
200060,RB.* VB.*_PM.*,76.0,.* .*,RB.* VB.*_PM.*,Only Rough POS
200061,CC.* JJ.*_PM.*_PM.*,12.0,.* .*,CC.* JJ.*_PM.*_PM.*,Only Rough POS
200062,VB.* JJ.*_PM.*,13.0,.* .*,VB.* JJ.*_PM.*,Only Rough POS
200063,PR.*_PM.* NN.*,23.0,.* .*,PR.*_PM.* NN.*,Only Rough POS
200064,NN.* NN.*_PM.*_PM.*,11.0,.* .*,NN.* NN.*_PM.*_PM.*,Only Rough POS
200065,VB.* JJ.*,48.0,.* .*,VB.* JJ.*,Only Rough POS
200066,DT.* VB.*_PM.*,19.0,.* .*,DT.* VB.*_PM.*,Only Rough POS
200067,PR.* FW_PM.*,13.0,.* .*,PR.* FW_PM.*,Only Rough POS
200068,VB.*_PM.* NN.*,8.0,.* .*,VB.*_PM.* NN.*,Only Rough POS
200069,DT.*_PM.* JJ.*,6.0,.* .*,DT.*_PM.* JJ.*,Only Rough POS
200070,JJ.*_PM.* NN.*,6.0,.* .*,JJ.*_PM.* NN.*,Only Rough POS
200071,CC.* JJ.*_PM.*,21.0,.* .*,CC.* JJ.*_PM.*,Only Rough POS
200072,NN.* JJ.*_PM.*_PM.*,5.0,.* .*,NN.* JJ.*_PM.*_PM.*,Only Rough POS
200073,DT.* JJ.*_PM.*,7.0,.* .*,DT.* JJ.*_PM.*,Only Rough POS
200074,RB.* JJ.*,25.0,.* .*,RB.* JJ.*,Only Rough POS
200075,JJ.* RB.*_PM.*,8.0,.* .*,JJ.* RB.*_PM.*,Only Rough POS
200076,VB.*_PM.* VB.*,9.0,.* .*,VB.*_PM.* VB.*,Only Rough POS
200077,RB.* RB.*_PM.*,5.0,.* .*,RB.* RB.*_PM.*,Only Rough POS
200078,RB.* FW_PM.*,10.0,.* .*,RB.* FW_PM.*,Only Rough POS
200079,DT.*_PM.* NN.*,5.0,.* .*,DT.*_PM.* NN.*,Only Rough POS
200080,JJ.* JJ.*_PM.*,19.0,.* .*,JJ.* JJ.*_PM.*,Only Rough POS
200081,CC.* NN.*_FW_PM.*,2.0,.* .*,CC.* NN.*_FW_PM.*,Only Rough POS
200082,VB.* PR.*_PM.*,43.0,.* .*,VB.* PR.*_PM.*,Only Rough POS
200083,PR.* JJ.*,57.0,.* .*,PR.* JJ.*,Only Rough POS
200084,CC.* PR.*_PM.*_PM.*,18.0,.* .*,CC.* PR.*_PM.*_PM.*,Only Rough POS
200085,JJ.* FW_PM.*,25.0,.* .*,JJ.* FW_PM.*,Only Rough POS
200086,LM_PM.* VB.*,13.0,.* .*,LM_PM.* VB.*,Only Rough POS
200087,NN.*_PM.* VB.*,5.0,.* .*,NN.*_PM.* VB.*,Only Rough POS
200088,PR.* VB.*_PM.*_PM.*,23.0,.* .*,PR.* VB.*_PM.*_PM.*,Only Rough POS
200089,RB.* VB.*,118.0,.* .*,RB.* VB.*,Only Rough POS
200090,NN.*_PM.* NN.*,7.0,.* .*,NN.*_PM.* NN.*,Only Rough POS
200091,VB.* PR.*_PM.*_PM.*,18.0,.* .*,VB.* PR.*_PM.*_PM.*,Only Rough POS
200092,CC.*_PM.* JJ.*,23.0,.* .*,CC.*_PM.* JJ.*,Only Rough POS
200093,RB.* JJ.*_PM.*_PM.*,5.0,.* .*,RB.* JJ.*_PM.*_PM.*,Only Rough POS
200094,LM VB.*,640.0,.* .*,.* VB.*,Only Rough POS
200095,RB.* PR.*_PM.*_PM.*,7.0,.* .*,RB.* PR.*_PM.*_PM.*,Only Rough POS
200096,PR.* NN.*_PM.*_PM.*,47.0,.* .*,PR.* NN.*_PM.*_PM.*,Only Rough POS
200097,DT.* PR.*_PM.*,7.0,.* .*,DT.* PR.*_PM.*,Only Rough POS
200098,VB.* NN.*_PM.*_PM.*,21.0,.* .*,VB.* NN.*_PM.*_PM.*,Only Rough POS
200099,VB.*_PM.* DT.*,8.0,.* .*,VB.*_PM.* DT.*,Only Rough POS
200100,LM_PM.* RB.*_PM.*_PM.*,2.0,.* .*,LM_PM.* RB.*_PM.*_PM.*,Only Rough POS
200101,CC.*_PM.* RB.*_PM.*_PM.*,2.0,.* .*,CC.*_PM.* RB.*_PM.*_PM.*,Only Rough POS
200102,CC.*_PM.* PR.*,6.0,.* .*,CC.*_PM.* PR.*,Only Rough POS
200103,VB.* RB.*,24.0,.* .*,VB.* RB.*,Only Rough POS
200104,VB.* FW_PM.*,8.0,.* .*,VB.* FW_PM.*,Only Rough POS
200105,RB.*_PM.* VB.*_PM.*,2.0,.* .*,RB.*_PM.* VB.*_PM.*,Only Rough POS
200106,DT.* VB.*_PM.*_PM.*,8.0,.* .*,DT.* VB.*_PM.*_PM.*,Only Rough POS
200107,JJ.* DT.*,3.0,.* .*,JJ.* DT.*,Only Rough POS
200108,PM.*_ PR.*,1200.0,.*,PR.*,Only Rough POS
200109,RB.* NN.*_PM.*_PM.*,13.0,.* .*,RB.* NN.*_PM.*_PM.*,Only Rough POS
200110,JJ.* JJ.*_PM.*_PM.*,8.0,.* .*,JJ.* JJ.*_PM.*_PM.*,Only Rough POS
200111,CC.* FW_PM.*_PM.*,6.0,.* .*,CC.* FW_PM.*_PM.*,Only Rough POS
200112,NN.* CC.*_NN.*_PM.*,2.0,.* .*,NN.* CC.*_NN.*_PM.*,Only Rough POS
200113,PM.*_ VB.*,1024.0,.*,VB.*,Only Rough POS
200114,LM JJ.*_PM.*_PM.*,39.0,.* .*,.* JJ.*_PM.*_PM.*,Only Rough POS
200115,CC.*_PM.* NN.*,15.0,.* .*,CC.*_PM.* NN.*,Only Rough POS
200116,JJ.* VB.*_PM.*_PM.*,4.0,.* .*,JJ.* VB.*_PM.*_PM.*,Only Rough POS
200117,RB.* RB.*_PM.*_PM.*,4.0,.* .*,RB.* RB.*_PM.*_PM.*,Only Rough POS
200118,FW NN.*_PM.*_PM.*,449.0,.* .*,.* NN.*_PM.*_PM.*,Only Rough POS
200119,VB.* VB.*_PM.*_PM.*,7.0,.* .*,VB.* VB.*_PM.*_PM.*,Only Rough POS
200120,LM RB.*_PM.*,60.0,.* .*,.* RB.*_PM.*,Only Rough POS
200121,RB.*_PM.* VB.*,4.0,.* .*,RB.*_PM.* VB.*,Only Rough POS
200122,RB.* JJ.*_PM.*,18.0,.* .*,RB.* JJ.*_PM.*,Only Rough POS
200123,LM_PM.* PR.*,8.0,.* .*,LM_PM.* PR.*,Only Rough POS
200124,LM_PM.* JJ.*,7.0,.* .*,LM_PM.* JJ.*,Only Rough POS
200125,PR.* PR.*_PM.*_PM.*,7.0,.* .*,PR.* PR.*_PM.*_PM.*,Only Rough POS
200126,VB.*_PM.* CC.*,2.0,.* .*,VB.*_PM.* CC.*,Only Rough POS
200127,PR.* CD.*_PM.*,2.0,.* .*,PR.* CD.*_PM.*,Only Rough POS
200128,NN.* RB.*_PM.*,17.0,.* .*,NN.* RB.*_PM.*,Only Rough POS
200129,CC.*_PM.* RB.*,4.0,.* .*,CC.*_PM.* RB.*,Only Rough POS
200130,LM_PM.* JJ.*_PM.*_PM.*,1.0,.* .*,LM_PM.* JJ.*_PM.*_PM.*,Only Rough POS
200131,VB.* CC.*_PM.*,5.0,.* .*,VB.* CC.*_PM.*,Only Rough POS
200132,VB.* RB.*_PM.*_PM.*,1.0,.* .*,VB.* RB.*_PM.*_PM.*,Only Rough POS
200133,DT.*_PM.* RB.*,3.0,.* .*,DT.*_PM.* RB.*,Only Rough POS
200134,JJ.* RB.*_PM.*_PM.*,2.0,.* .*,JJ.* RB.*_PM.*_PM.*,Only Rough POS
200135,NN.*_PM.* RB.*_PM.*,3.0,.* .*,NN.*_PM.* RB.*_PM.*,Only Rough POS
200136,VB.*_PM.* RB.*,2.0,.* .*,VB.*_PM.* RB.*,Only Rough POS
200137,VB.* PR.*,51.0,.* .*,VB.* PR.*,Only Rough POS
200138,CC.* RB.*_PM.*_PM.*,3.0,.* .*,CC.* RB.*_PM.*_PM.*,Only Rough POS
200139,NN.* FW_PM.*,15.0,.* .*,NN.* FW_PM.*,Only Rough POS
200140,JJ.*_PM.* CC.*,1.0,.* .*,JJ.*_PM.* CC.*,Only Rough POS
200141,PR.* RB.*_PM.*_PM.*,3.0,.* .*,PR.* RB.*_PM.*_PM.*,Only Rough POS
200142,PR.*_PM.* VB.*,5.0,.* .*,PR.*_PM.* VB.*,Only Rough POS
200143,PR.*_PM.* PR.*,3.0,.* .*,PR.*_PM.* PR.*,Only Rough POS
200144,PR.*_PM.* NN.*_PM.*_PM.*,2.0,.* .*,PR.*_PM.* NN.*_PM.*_PM.*,Only Rough POS
200145,PR.* RB.*_PM.*,7.0,.* .*,PR.* RB.*_PM.*,Only Rough POS
200146,PM.*_ RB.*,757.0,.*,RB.*,Only Rough POS
200147,VB.* DT.*_NN.*_PM.*,3.0,.* .*,VB.* DT.*_NN.*_PM.*,Only Rough POS
200148,PR.* DT.*_NN.*_PM.*,2.0,.* .*,PR.* DT.*_NN.*_PM.*,Only Rough POS
200149,RB.* PR.*_PM.*,16.0,.* .*,RB.* PR.*_PM.*,Only Rough POS
200150,LM JJ.*_PM.*,195.0,.* .*,.* JJ.*_PM.*,Only Rough POS
200151,PR.*_PM.* DT.*,3.0,.* .*,PR.*_PM.* DT.*,Only Rough POS
200152,RB.*_PM.* NN.*,1.0,.* .*,RB.*_PM.* NN.*,Only Rough POS
200153,RB.*_PM.* JJ.*,1.0,.* .*,RB.*_PM.* JJ.*,Only Rough POS
200154,PM.*_ JJ.*,1681.0,.*,JJ.*,Only Rough POS
200155,NN.*_PM.* PR.*,2.0,.* .*,NN.*_PM.* PR.*,Only Rough POS
200156,NN.*_PM.* CC.*,1.0,.* .*,NN.*_PM.* CC.*,Only Rough POS
200157,JJ.* PR.*_PM.*_PM.*,1.0,.* .*,JJ.* PR.*_PM.*_PM.*,Only Rough POS
200158,PR.*_PM.* RB.*,1.0,.* .*,PR.*_PM.* RB.*,Only Rough POS
200595,PMS_ NN.*,3117.0,.*,NN.*,Only Rough POS
200677,PMS_ VB.*,1024.0,.*,VB.*,Only Rough POS
200704,PMS_ PR.*,1200.0,.*,PR.*,Only Rough POS
200726,PMS_ VB.*,1024.0,.*,VB.*,Only Rough POS
200733,PMS_ NN.*,3117.0,.*,NN.*,Only Rough POS
200754,PMS_ RB.*,757.0,.*,RB.*,Only Rough POS
200774,PMS_ JJ.*,1681.0,.*,JJ.*,Only Rough POS
300001,DT.* JJ.* JJ.*,101.0,.* .* .*,DT.* JJ.* JJ.*,Only Rough POS
300002,JJ.* JJ.* FW,393.0,.* .* .*,JJ.* JJ.* .*,Only Rough POS
300003,JJ.* FW PM.*,140.0,.* .* .*,JJ.* .* PM.*,Only Rough POS
300004,DT.* VB.* CC.*,119.0,.* .* .*,DT.* VB.* CC.*,Only Rough POS
300005,VB.* CC.* PR.*,1137.0,.* .* .*,VB.* CC.* PR.*,Only Rough POS
300006,JJ.* RB.* PR.*_PM.*,5.0,.* .* .*,JJ.* RB.* PR.*_PM.*,Only Rough POS
300007,NN.* CC.* NN.*_PM.*,1353.0,.* .* .*,NN.* CC.* NN.*_PM.*,Only Rough POS
300008,NN.* LM VB.*,1804.0,.* .* .*,NN.* .* VB.*,Only Rough POS
300009,LM VB.* VB.*,454.0,.* .* .*,.* VB.* VB.*,Only Rough POS
300010,RB.* NN.* VB.*,31.0,.* .* .*,RB.* NN.* VB.*,Only Rough POS
300011,VB.* NN.* PM.*,21.0,.* .* .*,VB.* NN.* PM.*,Only Rough POS
300012,VB.* CC.* JJ.*,961.0,.* .* .*,VB.* CC.* JJ.*,Only Rough POS
300013,CC.* JJ.* NN.*,2104.0,.* .* .*,CC.* JJ.* NN.*,Only Rough POS
300014,JJ.* NN.* CC.*,2270.0,.* .* .*,JJ.* NN.* CC.*,Only Rough POS
300015,CC.* DT.* NN.*,1110.0,.* .* .*,CC.* DT.* NN.*,Only Rough POS
300016,DT.* NN.* RB.*,211.0,.* .* .*,DT.* NN.* RB.*,Only Rough POS
300017,NN.* RB.* JJ.*,150.0,.* .* .*,NN.* RB.* JJ.*,Only Rough POS
300018,NN.* CC.* PR.*,1417.0,.* .* .*,NN.* CC.* PR.*,Only Rough POS
300019,CC.* PR.* DT.*,273.0,.* .* .*,CC.* PR.* DT.*,Only Rough POS
300020,PR.* DT.* NN.*_PM.*,114.0,.* .* .*,PR.* DT.* NN.*_PM.*,Only Rough POS
300021,DT.* VB.* RB.*,51.0,.* .* .*,DT.* VB.* RB.*,Only Rough POS
300022,VB.* RB.* PR.*,62.0,.* .* .*,VB.* RB.* PR.*,Only Rough POS
300023,RB.* PR.* LM,380.0,.* .* .*,RB.* PR.* .*,Only Rough POS
300024,PR.* LM VB.*,614.0,.* .* .*,PR.* .* VB.*,Only Rough POS
300025,LM VB.* NN.*,987.0,.* .* .*,.* VB.* NN.*,Only Rough POS
300026,VB.* NN.* CC.*,384.0,.* .* .*,VB.* NN.* CC.*,Only Rough POS
300027,RB.* CC.* PR.*,278.0,.* .* .*,RB.* CC.* PR.*,Only Rough POS
300028,CC.* PR.* NN.*,2312.0,.* .* .*,CC.* PR.* NN.*,Only Rough POS
300029,PR.* NN.* CC.*,1567.0,.* .* .*,PR.* NN.* CC.*,Only Rough POS
300030,JJ.* CC.* NN.*_PM.*,574.0,.* .* .*,JJ.* CC.* NN.*_PM.*,Only Rough POS
300031,JJ.* NN.* RB.*,259.0,.* .* .*,JJ.* NN.* RB.*,Only Rough POS
300032,DT.* NN.* PR.*,182.0,.* .* .*,DT.* NN.* PR.*,Only Rough POS
300033,NN.* PR.* DT.*,40.0,.* .* .*,NN.* PR.* DT.*,Only Rough POS
300034,NN.* CC.* VB.*,680.0,.* .* .*,NN.* CC.* VB.*,Only Rough POS
300035,CC.* VB.* PR.*,210.0,.* .* .*,CC.* VB.* PR.*,Only Rough POS
300036,VB.* PR.* CC.*,57.0,.* .* .*,VB.* PR.* CC.*,Only Rough POS
300037,DT.* DT.* JJ.*_PM.*,4.0,.* .* .*,DT.* DT.* JJ.*_PM.*,Only Rough POS
300038,DT.* DT.* NN.*,293.0,.* .* .*,DT.* DT.* NN.*,Only Rough POS
300039,NN.* PR.* LM,332.0,.* .* .*,NN.* PR.* .*,Only Rough POS
300040,NN.* CC.* JJ.*,1061.0,.* .* .*,NN.* CC.* JJ.*,Only Rough POS
300041,CC.* JJ.* FW,2875.0,.* .* .*,CC.* JJ.* .*,Only Rough POS
300042,NN.* CC.* JJ.*_PM.*,34.0,.* .* .*,NN.* CC.* JJ.*_PM.*,Only Rough POS
300043,VB.* CC.* VB.*,264.0,.* .* .*,VB.* CC.* VB.*,Only Rough POS
300044,CC.* VB.* CC.*,316.0,.* .* .*,CC.* VB.* CC.*,Only Rough POS
300045,VB.* CC.* DT.*,160.0,.* .* .*,VB.* CC.* DT.*,Only Rough POS
300046,CC.* DT.* NN.*_PM.*,655.0,.* .* .*,CC.* DT.* NN.*_PM.*,Only Rough POS
300047,DT.* RB.* VB.*_PM.*,6.0,.* .* .*,DT.* RB.* VB.*_PM.*,Only Rough POS
300048,CC.* CC.* RB.*_PM.*,4.0,.* .* .*,CC.* CC.* RB.*_PM.*,Only Rough POS
300049,RB.* VB.* JJ.*_PM.*,5.0,.* .* .*,RB.* VB.* JJ.*_PM.*,Only Rough POS
300050,RB.* VB.* RB.*,78.0,.* .* .*,RB.* VB.* RB.*,Only Rough POS
300051,VB.* RB.* VB.*,89.0,.* .* .*,VB.* RB.* VB.*,Only Rough POS
300052,RB.* VB.* CC.*,506.0,.* .* .*,RB.* VB.* CC.*,Only Rough POS
300053,DT.* NN.* PR.*_PM.*,56.0,.* .* .*,DT.* NN.* PR.*_PM.*,Only Rough POS
300054,VB.* VB.* PR.*,43.0,.* .* .*,VB.* VB.* PR.*,Only Rough POS
300055,PR.* CC.* PR.*,157.0,.* .* .*,PR.* CC.* PR.*,Only Rough POS
300056,CC.* PR.* NN.*_PM.*,482.0,.* .* .*,CC.* PR.* NN.*_PM.*,Only Rough POS
300057,CC.* NN.* RB.*,491.0,.* .* .*,CC.* NN.* RB.*,Only Rough POS
300058,NN.* RB.* NN.*,340.0,.* .* .*,NN.* RB.* NN.*,Only Rough POS
300059,RB.* NN.* CC.*,428.0,.* .* .*,RB.* NN.* CC.*,Only Rough POS
300060,VB.* DT.* NN.*_PM.*,405.0,.* .* .*,VB.* DT.* NN.*_PM.*,Only Rough POS
300061,DT.* PR.* NN.*,874.0,.* .* .*,DT.* PR.* NN.*,Only Rough POS
300062,PR.* NN.* LM,2782.0,.* .* .*,PR.* NN.* .*,Only Rough POS
300063,VB.* CC.* NN.*_PM.*,948.0,.* .* .*,VB.* CC.* NN.*_PM.*,Only Rough POS
300064,DT.* CD.*_PM.* NN.*,7.0,.* .* .*,DT.* CD.*_PM.* NN.*,Only Rough POS
300065,NN.* PM.* JJ.*,34.0,.* .* .*,NN.* PM.* JJ.*,Only Rough POS
300066,PM.* JJ.* NN.*,112.0,.* .* .*,PM.* JJ.* NN.*,Only Rough POS
300067,JJ.* NN.* LM,3472.0,.* .* .*,JJ.* NN.* .*,Only Rough POS
300068,LM VB.* PR.*,640.0,.* .* .*,.* VB.* PR.*,Only Rough POS
300069,VB.* PR.* JJ.*,62.0,.* .* .*,VB.* PR.* JJ.*,Only Rough POS
300070,PR.* DT.* NN.*,509.0,.* .* .*,PR.* DT.* NN.*,Only Rough POS
300071,NN.* LM JJ.*,1609.0,.* .* .*,NN.* .* JJ.*,Only Rough POS
300072,LM JJ.* VB.*,384.0,.* .* .*,.* JJ.* VB.*,Only Rough POS
300073,JJ.* VB.* RB.*,25.0,.* .* .*,JJ.* VB.* RB.*,Only Rough POS
300074,VB.* RB.* JJ.*,116.0,.* .* .*,VB.* RB.* JJ.*,Only Rough POS
300075,RB.* JJ.* PM.*,158.0,.* .* .*,RB.* JJ.* PM.*,Only Rough POS
300076,JJ.* NN.* PR.*,45.0,.* .* .*,JJ.* NN.* PR.*,Only Rough POS
300077,CC.* DT.* JJ.*,405.0,.* .* .*,CC.* DT.* JJ.*,Only Rough POS
300078,DT.* JJ.* NN.*_PM.*,134.0,.* .* .*,DT.* JJ.* NN.*_PM.*,Only Rough POS
300079,RB.* JJ.* NN.*,251.0,.* .* .*,RB.* JJ.* NN.*,Only Rough POS
300080,CD.* DT.* PR.*,1.0,.* .* .*,CD.* DT.* PR.*,Only Rough POS
300081,DT.* NN.* VB.*,241.0,.* .* .*,DT.* NN.* VB.*,Only Rough POS
300082,JJ.* NN.* DT.*,234.0,.* .* .*,JJ.* NN.* DT.*,Only Rough POS
300083,VB.* NN.* DT.*,65.0,.* .* .*,VB.* NN.* DT.*,Only Rough POS
300084,CC.* PR.* CC.*,42.0,.* .* .*,CC.* PR.* CC.*,Only Rough POS
300085,PR.* CC.* VB.*,42.0,.* .* .*,PR.* CC.* VB.*,Only Rough POS
300086,VB.* RB.* RB.*,64.0,.* .* .*,VB.* RB.* RB.*,Only Rough POS
300087,RB.* RB.* VB.*,160.0,.* .* .*,RB.* RB.* VB.*,Only Rough POS
300088,CC.* RB.* RB.*,38.0,.* .* .*,CC.* RB.* RB.*,Only Rough POS
300089,RB.* RB.* RB.*,24.0,.* .* .*,RB.* RB.* RB.*,Only Rough POS
300090,RB.* RB.* VB.*_PM.*_PM.*,6.0,.* .* .*,RB.* RB.* VB.*_PM.*_PM.*,Only Rough POS
300091,CC.* DT.* VB.*,211.0,.* .* .*,CC.* DT.* VB.*,Only Rough POS
300092,VB.* CC.* NN.*,1608.0,.* .* .*,VB.* CC.* NN.*,Only Rough POS
300093,NN.* CC.* CD.*_PM.*,90.0,.* .* .*,NN.* CC.* CD.*_PM.*,Only Rough POS
300094,CC.* NN.* JJ.*,277.0,.* .* .*,CC.* NN.* JJ.*,Only Rough POS
300095,NN.* JJ.* RB.*,32.0,.* .* .*,NN.* JJ.* RB.*,Only Rough POS
300096,JJ.* RB.* NN.*_PM.*,17.0,.* .* .*,JJ.* RB.* NN.*_PM.*,Only Rough POS
300097,PR.* NN.* DT.*,170.0,.* .* .*,PR.* NN.* DT.*,Only Rough POS
300098,NN.* DT.* VB.*_PM.*,82.0,.* .* .*,NN.* DT.* VB.*_PM.*,Only Rough POS
300099,VB.* VB.* CC.*,197.0,.* .* .*,VB.* VB.* CC.*,Only Rough POS
300100,CC.* JJ.* VB.*,89.0,.* .* .*,CC.* JJ.* VB.*,Only Rough POS
300101,JJ.* VB.* NN.*,39.0,.* .* .*,JJ.* VB.* NN.*,Only Rough POS
300102,CD.* CC.* NN.*_PM.*,136.0,.* .* .*,CD.* CC.* NN.*_PM.*,Only Rough POS
300103,LM VB.* RB.*,736.0,.* .* .*,.* VB.* RB.*,Only Rough POS
300104,VB.* RB.* CD.*,69.0,.* .* .*,VB.* RB.* CD.*,Only Rough POS
300105,PR.* VB.* PM.*,27.0,.* .* .*,PR.* VB.* PM.*,Only Rough POS
300106,VB.* PM.* PR.*,6.0,.* .* .*,VB.* PM.* PR.*,Only Rough POS
300107,PM.* PR.* JJ.*,20.0,.* .* .*,PM.* PR.* JJ.*,Only Rough POS
300108,NN.* CD.* PR.*,3.0,.* .* .*,NN.* CD.* PR.*,Only Rough POS
300109,CD.* PR.* NN.*,19.0,.* .* .*,CD.* PR.* NN.*,Only Rough POS
300110,CD.* NN.* NN.*,47.0,.* .* .*,CD.* NN.* NN.*,Only Rough POS
300111,NN.* NN.* LM,466.0,.* .* .*,NN.* NN.* .*,Only Rough POS
300112,VB.* DT.* NN.*,688.0,.* .* .*,VB.* DT.* NN.*,Only Rough POS
300113,JJ.* NN.* VB.*,97.0,.* .* .*,JJ.* NN.* VB.*,Only Rough POS
300114,RB.* DT.* PR.*,95.0,.* .* .*,RB.* DT.* PR.*,Only Rough POS
300115,DT.* PR.* NN.*_PM.*,113.0,.* .* .*,DT.* PR.* NN.*_PM.*,Only Rough POS
